"sample_id"	"reads"	"percentage of overall results"	"notes"
"JDFB_75_092425"	26072	0.008586269082976451	""
"JDFB_76_092425"	15353	0.005056190136197355	""
"JDFB_77_092425"	23853	0.007855487743028432	""
"JDFB_78_092425"	21699	0.007146112796544415	""
"JDFB_79_092525"	30645	0.01009229119545157	""
"JDFB_80_092525"	16027	0.005278157969962549	""
"JDFB_81_092525"	27725	0.00913065013522254	""
"JDFB_81_092525"	3	9.879873906462623e-7	"sample did not have any recorded observations for any assignments"
"JDFB_82_092525"	15383	0.005066070010103818	""
"JDFB_82_092525"	6	1.9759747812925246e-6	"sample did not have any recorded observations for any assignments"
"JDFB_83_092525"	17678	0.005821880363948208	""
"JDFB_84_092525"	16674	0.005491233917211926	""
"JDFB_84_092525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_85_092525"	16836	0.005544585236306824	""
"JDFB_85_092525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_86_092525"	19931	0.0065638588943235515	""
"JDFB_86_092525"	4	1.317316520861683e-6	"sample did not have any recorded observations for any assignments"
"JDFB_87_092525"	35147	0.011574930939681394	""
"JDFB_87_092525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_88_092525"	24408	0.008038265410297991	""
"JDFB_89_092525"	22448	0.007392780315075766	""
"JDFB_89_092525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_90_092525"	23413	0.0077105829257336465	""
"JDFB_BK1_01_062525"	3546	0.001167801095743882	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_03_062625"	2425	0.0007986231407723954	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_05_072425"	5	1.6466456510771039e-6	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_06_073025"	13	4.28127869280047e-6	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_08_082625"	249	0.00008200295342363977	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_10_082725"	6961	0.002292460075429544	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_12_082825"	8983	0.002958363576725125	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_14_092425"	4597	0.0015139260116002894	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_16_092525"	801	0.00026379263330255205	"sample did not have any recorded observations for any assignments"
"JDFB_BK2_02_062525"	101	0.000033262242151757496	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK2_04_062625"	5042	0.0016604774745461516	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK2_07_073025"	85	0.000027992976068310767	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK2_09_082625"	12787	0.004211131588064586	"sample did not have any recorded observations for any assignments"
"JDFB_BK2_11_082725"	5780	0.0019035223726451321	"sample did not have any recorded observations for any assignments"
"JDFB_BK2_13_082825"	5404	0.001779694619684134	"sample did not have any recorded observations for any assignments"
"JDFB_BK2_15_092425"	21208	0.006984412193608644	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK2_17_092525"	1590	0.000523633317042519	"sample did not have any recorded observations for any assignments"
"OAK_01_072825"	4028	0.0013265377365077149	""
"OAK_01_072825"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"OAK_02_072825"	33224	0.01094163102227714	""
"OAK_02_072825"	21	6.915911734523836e-6	"sample did not have any recorded observations for any assignments"
"OAK_03_072825"	33712	0.011102343637822264	""
"OAK_03_072825"	8	2.634633041723366e-6	"sample did not have any recorded observations for any assignments"
"OAK_04_072825"	23437	0.007718486824858817	""
"OAK_04_072825"	13	4.28127869280047e-6	"sample did not have any recorded observations for any assignments"
"OAK_05_072825"	21282	0.007008782549244585	""
"OAK_05_072825"	12	3.951949562585049e-6	"sample did not have any recorded observations for any assignments"
"OAK_06_072825"	42359	0.01395005262679501	""
"OAK_06_072825"	6	1.9759747812925246e-6	"sample did not have any recorded observations for any assignments"
"OAK_07_072825"	21654	0.007131292985684721	""
"OAK_08_072825"	18821	0.006198303559784435	""
"OAK_BK1_01_072825"	17428	0.005739548081394354	"sample did not have any recorded observations for any assignments"
"OAK_BK2_02_072825"	2289	0.0007538343790630982	"sample did not have any recorded observations for any assignments"
"PBN_TOW_BTM_15m_092425"	20769	0.006839836705444074	""
"PBN_TOW_BTM_15m_092425"	6	1.9759747812925246e-6	"sample did not have any recorded observations for any assignments"
"PBN_TOW_BTM_3m_092425"	26032	0.008573095917767833	""
"PBN_TOW_BTM_3m_092425"	7	2.3053039115079454e-6	"sample did not have any recorded observations for any assignments"
"PBN_TOW_PORT_15m_092425"	19583	0.006449252357008585	""
"PBN_TOW_PORT_15m_092425"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"PBN_TOW_PORT_3m_092425"	24655	0.0081196097054612	""
"PBN_TOW_PORT_3m_092425"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"PBN_TOW_STBD_15m_092425"	28601	0.00941914245329125	""
"PBN_TOW_STBD_15m_092425"	6	1.9759747812925246e-6	"sample did not have any recorded observations for any assignments"
"PBN_TOW_STBD_3m_092425"	19305	0.006357698858808698	""
"PG_PCR_Blank_2"	19	6.257253474092995e-6	"Decontaminated read was in sample with fewer than 1 reads"
"PG_ext_blank_1"	561	0.00018475364205085105	"Decontaminated read was in sample with fewer than 1 reads"
"PG_ext_blank_2"	9644	0.003176050131797518	"Decontaminated read was in sample with fewer than 1 reads"
"PTBAY_TOW_BTM_8m_092225"	24166	0.007958567760785858	""
"PTBAY_TOW_BTM_8m_092225"	21	6.915911734523836e-6	"sample did not have any recorded observations for any assignments"
"PTBAY_TOW_PORT_8m_092225"	22694	0.007473795281108759	""
"PTBAY_TOW_PORT_8m_092225"	27	8.89188651581636e-6	"sample did not have any recorded observations for any assignments"
"PTBAY_TOW_STBD_8m_092225"	32515	0.010708136668954406	""
"PTBAY_TOW_STBD_8m_092225"	37	0.00001218517781797057	"sample did not have any recorded observations for any assignments"
"SJI_01_072125"	38408	0.012648873233313882	""
"SJI_01_072125"	4	1.317316520861683e-6	"sample did not have any recorded observations for any assignments"
"SJI_02_072125"	23918	0.007876894136492434	""
