taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Mammalia;Rodentia;Bathyergidae	""	0.81
Animalia;Chordata;Chondrichthyes;Hexanchiformes;Hexanchidae;Hexanchus;Hexanchus griseus	Bluntnose sixgill	0.81
Animalia;Chordata;Actinopteri;Perciformes;Serranidae	""	0.81
Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus	""	1.63
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae;Hexagrammos	Greenlings	1.63
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae;Ophiodon;Ophiodon elongatus	Lingcod	0.81
Animalia;Chordata;Mammalia;Rodentia;Anomaluridae	""	0.81
Animalia;Chordata;Mammalia;Chiroptera	Bats	0.81
Animalia;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes nebulosus	China rockfish	0.81
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys	Right-eye flounders	0.81
Animalia;Chordata;Actinopteri;Synbranchiformes;Synbranchidae	""	0.81
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Ammodytes;Ammodytes tobianus	""	0.81
Animalia;Chordata;Mammalia;Carnivora;Phocidae	Earless seals	0.81
Animalia;Chordata;Actinopteri;Anguilliformes;Muraenesocidae;Oxyconger;Oxyconger leptognathus	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes fasciatus	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodes;Lycodes mcallisteri	Eelpouts	0.81
Animalia;Chordata;Actinopteri;Labriformes;Labridae;Bodianus	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Plectobranchus;Plectobranchus evides	""	1.63
Animalia;Chordata;Mammalia;Chiroptera;Megadermatidae	""	0.81
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae;Arctogadus;Arctogadus glacialis	""	1.63
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Chitonotus;Chitonotus pugetensis	Roughback sculpin	0.81
Animalia;Chordata;Chondrichthyes;Rajiformes;Rajidae	""	1.63
Animalia;Chordata;Actinopteri;Perciformes;Niphonidae;Niphon;Niphon spinosus	""	0.81
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Aquila	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus marginatus	""	0.81
Animalia;Chordata;Chondrichthyes;Hexanchiformes;Hexanchidae	Cow sharks	0.81
Animalia;Chordata;Actinopteri;Perciformes;Percidae;Gymnocephalus;Gymnocephalus cernua	""	0.81
Animalia;Chordata;Lepidosauria;Squamata;Scincidae;Scincus;Scincus scincus	""	0.81
Animalia;Chordata;Actinopteri;Uranoscopiformes;Cheimarrichthyidae;Cheimarrichthys;Cheimarrichthys fosteri	Shark bully	0.81
