"sample_id"	"reads"	"percentage of overall results"	"notes"
"PBN_TOW_BTM_3m_092425"	32207	0.004979425681604016	""
"PBN_TOW_PORT_15m_092425"	46531	0.007194015474608516	""
"PBN_TOW_PORT_3m_092425"	23388	0.003615947087321226	""
"PBN_TOW_STBD_15m_092425"	15574	0.0024078484666470315	""
"PBN_TOW_STBD_3m_092425"	62823	0.009712871723395819	""
"PG_PCR_Blank_2"	4191	0.0006479576809886805	""
"PG_ext_blank_1"	40487	0.0062595711358121465	""
"PG_ext_blank_2"	29565	0.004570954148993161	""
"PTBAY_TOW_BTM_8m_092225"	47763	0.007384491223350596	""
"PTBAY_TOW_PORT_8m_092225"	46130	0.007132018092103992	""
"PTBAY_TOW_STBD_8m_092225"	28756	0.004445877135411715	""
"SJI_01_072125"	73190	0.01131568185911752	""
"SJI_02_072125"	59947	0.009268222167079081	""
"SJI_03_072125"	55094	0.008517914692529317	""
"SJI_04_072125"	59577	0.009211017599680892	""
"SJI_05_072125"	21512	0.0033259044699185144	""
"SJI_06_072125"	55570	0.008591507595452392	""
"SJI_07_072125"	3732	0.0005769930960271429	""
"SJI_08_072125"	47567	0.007354188263323447	""
"SJI_BK1_01_072125"	31090	0.00480672973083705	""
"SJI_BK2_02_072125"	49431	0.00764237559745919	""
"SQU_01_072925"	72764	0.011249819303140144	""
"SQU_02_072925"	60572	0.009364851503900347	""
"SQU_03_072925"	56007	0.00865907082775782	""
"SQU_04_072925"	60439	0.009344288781024782	""
"SQU_05_072925"	73560	0.011372886426515709	""
"SQU_06_072925"	53671	0.008297909018454657	""
"SQU_07_072925"	38367	0.005931804425314413	""
"SQU_08_072925"	52098	0.008054712303542896	""
"SQU_BK1_01_072925"	39785	0.0061510370646945004	""
"SQU_BK2_02_072925"	28517	0.0044089260770112625	""
