File,Foraging (Y/N),Seal_Presence,Original_Date (Do Not Use for R),Date,File_Timestamp,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,FGS_Status,Notes,
May_08_2023_135727_1816,NA,N,"May _14, _2023",5/14/23,1:26:48 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1817,NA,N,"May _14, _2023",5/14/23,__1:30:20 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1818,NA,N,"May _14, _2023",5/14/23,__1:34:08 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1819,NA,N,"May _14, _2023",5/14/23,__1:38:16 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1820,NA,N,"May _14, _2023",5/14/23,__1:41:52 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1821,NA,N,"May _14, _2023",5/14/23,1:45:44 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1822,NA,N,"May _14, _2023",5/14/23,1:50:04 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1823,NA,N,"May _14, _2023",5/14/23,1:54:48 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1824,NA,N,"May _14, _2023",5/14/23,1:59:36 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1825,NA,N,"May _14, _2023",5/14/23,__2:04:26 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1826,NA,N,"May _14, _2023",5/14/23,2:08:18 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1827,NA,N,"May _14, _2023",5/14/23,__2:11:46 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1828,NA,N,"May _14, _2023",5/14/23,__2:15:46 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1829,NA,N,"May _14, _2023",5/14/23,2:20:20 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1830,NA,Y,"May _14, _2023",5/14/23,2:24:58 PM,20:28.6,20:35.8,,,,,,,,,,,00:07.2,7.20,ON,Single seal swims at the fillet site corner,
May_08_2023_135727_1831,NA,N,"May _14, _2023",5/14/23,2:29:38 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1832,NA,N,"May _14, _2023",5/14/23,__2:33:38 PM,,,,,,,,,,,,,00:00.0,0.00,ON,Some schools of fish,
May_08_2023_135727_1833,NA,N,"May _14, _2023",5/14/23,2:37:54 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1834,NA,N,"May _14, _2023",5/14/23,2:42:08 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1835,NA,N,"May _14, _2023",5/14/23,__2:46:32 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1836,NA,N,"May _14, _2023",5/14/23,2:50:50 PM,,,,,,,,,,,,,00:00.0,0.00,ON,Some schools of fish swimming around,
May_08_2023_135727_1837,Y,Y,"May _14, _2023",5/14/23,2:55:12 PM,54:24.5,54:37.2,54:59.8,55:07.0,,,,,,,,,00:19.9,19.90,ON,Swims in then swims across the corner,
May_08_2023_135727_1838,N,Y,"May _14, _2023",5/14/23,2:59:46 PM,56:59.4,57:04.1,,,,,,,,,,,00:04.7,4.70,ON,very fast swim coming from basically right at the blueview,
May_08_2023_135727_1839,NA,N,"May _14, _2023",5/14/23,3:04:24 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1840,NA,N,"May _14, _2023",5/14/23,__3:09:08 PM,,,,,,,,,,,,,00:00.0,0.00,ON,Quite a lot of fish in schools,
May_08_2023_135727_1841,NA,N,"May _14, _2023",5/14/23,3:13:56 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1842,NA,N,"May _14, _2023",5/14/23,__3:18:46 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1843,NA,N,"May _14, _2023",5/14/23,__3:23:18 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1844,NA,N,"May _14, _2023",5/14/23,3:27:16 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1845,N,Y,"May _14, _2023",5/14/23,__3:31:08 PM,30:16.8,31:06.0,,,,,,,,,,,00:49.2,49.20,ON,Swims in and floats in the fov throught the end of the file. Will continue into the next one,
May_08_2023_135727_1846,N,Y,"May _14, _2023",5/14/23,__3:34:38 PM,31:05.8,31:08.9,,,,,,,,,,,00:03.1,3.10,ON,Finish of the last file. Just a small swim out,
May_08_2023_135727_1847,NA,N,"May _14, _2023",5/14/23,3:38:10 PM,,,,,,,,,,,,,00:00.0,0.00,ON,Dark file. Not much to see at all,
May_08_2023_135727_1848,NA,N,"May _14, _2023",5/14/23,__3:41:46 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1849,NA,N,"May _14, _2023",5/14/23,3:45:20 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1850,NA,N,"May _14, _2023",5/14/23,3:48:48 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1851,NA,N,"May _14, _2023",5/14/23,__3:52:06 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1852,NA,N,"May _14, _2023",5/14/23,__3:55:40 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1853,NA,N,"May _14, _2023",5/14/23,3:59:52 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1854,N,Y,"May _14, _2023",5/14/23,4:04:20 PM,01:03.8,01:44.3,,,,,,,,,,,00:40.5,40.50,ON,Swims at the edge of the fov ,
May_08_2023_135727_1855,Y,Y,"May _14, _2023",5/14/23,4:08:54 PM,06:52.3,07:11.2,,,,,,,,,,,00:18.9,18.90,ON,Swims into a school of fish so I think that it is foraging,
May_08_2023_135727_1856,NA,N,"May _14, _2023",5/14/23,__4:13:18 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1857,NA,N,"May _14, _2023",5/14/23,__4:17:24 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1858,NA,N,"May _14, _2023",5/14/23,4:21:08 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1859,Y,Y,"May _14, _2023",5/14/23,__4:25:18 PM,22:33.6,22:48.0,,,,,,,,,,,00:14.4,14.40,ON,Swims across the fov,
May_08_2023_135727_1860,NA,N,"May _14, _2023",5/14/23,__4:29:38 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1861,Y,Y,"May _14, _2023",5/14/23,__4:33:54 PM,31:29.5,31:40.7,,,,,,,,,,,00:11.2,11.20,ON,Seal swims into a school of fish,
May_08_2023_135727_1862,Y,Y,"May _14, _2023",5/14/23,__4:37:56 PM,36:13.2,36:16.6,36:19.9,36:58.1,,,,,,,,,00:41.6,41.60,ON,Seal going in circle and into a large school of fish,
May_08_2023_135727_1863,NA,N,"May _14, _2023",5/14/23,4:41:36 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1864,NA,N,"May _14, _2023",5/14/23,__4:45:06 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1865,NA,N,"May _14, _2023",5/14/23,4:48:28 PM,,,,,,,,,,,,,00:00.0,0.00,ON,"Dark file, there is something that could be a seal but you can't tell with the dark file",
May_08_2023_135727_1866,NA,N,"May _14, _2023",5/14/23,4:51:56 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1867,Y,Y,"May _14, _2023",5/14/23,__4:55:50 PM,53:58.5,54:30.0,,,,,,,,,,,00:31.5,31.50,ON,Swims into a school of fish so I think that it is foraging,
May_08_2023_135727_1868,N,Y,"May _14, _2023",5/14/23,__4:59:44 PM,59:39.3,59:42.5,,,,,,,,,,,00:03.2,3.20,ON,Very end of file.,
May_08_2023_135727_1869,Y,Y,"May _14, _2023",5/14/23,5:03:18 PM,59:42.6,59:45.0,00:08.6,00:17.3,00:27.2,00:37.7,,,,,,,00:21.6,21.60,ON,Multiple swirling strikes in file,
May_08_2023_135727_1870,Y,Y,"May _14, _2023",5/14/23,__5:07:04 PM,03:50.6,04:01.3,05:34.6,05:50.2,06:05.4,06:21.4,06:09.2,06:34.3,,,,,01:07.4,67.40,ON,Lots of foraging activity,
May_08_2023_135727_1871,Y,Y,"May _14, _2023",5/14/23,__5:11:20 PM,09:00.3,09:07.1,,,,,,,,,,,00:06.8,6.80,ON,Single circle strike of a seal,
May_08_2023_135727_1872,Y,Y,"May _14, _2023",5/14/23,5:15:16 PM,14:03.3,14:07.7,,,,,,,,,,,00:04.4,4.40,ON,,
May_08_2023_135727_1873,Y,Y,"May _14, _2023",5/14/23,5:18:54 PM,16:31.2,16:40.5,16:43.8,16:51.4,,,,,,,,,00:16.9,16.90,ON,A couple circular strikes,
May_08_2023_135727_1874,Y,Y,"May _14, _2023",5/14/23,__5:23:16 PM,19:02.1,19:30.9,22:38.5,22:47.2,22:41.9,22:51.5,22:51.6,23:02.4,22:55.0,23:07.6,,,01:10.5,70.50,ON,Multiple seals foraging together,
May_08_2023_135727_1875,Y,Y,"May _14, _2023",5/14/23,5:27:56 PM,23:14.7,23:24.8,23:26.8,23:48.3,26:09.3,26:22.8,26:26.8,26:43.6,27:00.6,27:14.8,,,01:16.1,76.10,ON,Multiple seals foraging together,
May_08_2023_135727_1876,Y,Y,"May _14, _2023",5/14/23,__5:32:50 PM,30:54.5,31:07.0,32:07.8,32:31.6,,,,,,,,,00:36.3,36.30,ON,,
May_08_2023_135727_1877,Y,Y,"May _14, _2023",5/14/23,__5:37:54 PM,33:40.1,34:07.3,34:15.8,34:24.8,34:34.2,35:17.3,,,,,,,01:19.3,79.30,ON,Not a ton of fish but there is still clear foraging,
May_08_2023_135727_1878,NA,N,"May _14, _2023",5/14/23,5:42:54 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1879,NA,N,"May _14, _2023",5/14/23,__5:47:54 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1880,Y,Y,"May _14, _2023",5/14/23,__5:52:54 PM,51:26.1,51:45.8,,,,,,,,,,,00:19.7,19.70,ON,Clear circle foraging,
May_08_2023_135727_1881,Y,Y,"May _14, _2023",5/14/23,5:57:54 PM,57:09.4,57:19.7,,,,,,,,,,,00:10.3,10.30,ON,Single swim across into some fish. Good number of fish overall,
May_08_2023_135727_1882,NA,N,"May _14, _2023",5/14/23,__6:02:54 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1883,Y,Y,"May _14, _2023",5/14/23,6:07:44 PM,03:53.3,03:55.5,05:22.4,05:49.5,07:10.7,07:18.1,,,,,,,00:36.7,36.70,ON,Some faint streaks and a very strong view. Also some more fish responses as well,
May_08_2023_135727_1884,NA,N,"May _14, _2023",5/14/23,6:11:58 PM,,,,,,,,,,,,,00:00.0,0.00,ON,A good size school of fish,
May_08_2023_135727_1885,Y,Y,"May _14, _2023",5/14/23,6:16:44 PM,15:27.2,15:31.6,16:05.3,16:41.8,,,,,,,,,00:40.9,40.90,ON,Continued into next file,
May_08_2023_135727_1886,N,Y,"May _14, _2023",5/14/23,6:21:28 PM,16:41.9,16:47.6,,,,,,,,,,,00:05.7,5.70,ON,,
May_08_2023_135727_1887,Y,Y,"May _14, _2023",5/14/23,6:25:28 PM,21:54.9,22:02.3,22:14.7,22:44.5,24:02.7,24:06.5,,,,,,,00:41.0,41.00,ON,Mostly faint but I am confident that they are seals,
May_08_2023_135727_1888,Y,Y,"May _14, _2023",5/14/23,__6:30:18 PM,28:36.3,28:44.3,29:09.1,29:23.5,,,,,,,,,00:22.4,22.40,ON,,
May_08_2023_135727_1889,Y,Y,"May _14, _2023",5/14/23,6:35:12 PM,33:23.8,33:30.5,33:26.3,33:33.0,33:34.7,34:12.6,33:55.2,34:12.4,,,,,01:08.5,68.50,ON,,
May_08_2023_135727_1890,Y,Y,"May _14, _2023",5/14/23,6:40:00 PM,37:00.0,37:04.6,38:02.5,38:16.2,,,,,,,,,00:18.3,18.30,ON,Multiple foraging on schools of fish. One swim through and the other is a swirl,
May_08_2023_135727_1891,N,Y,"May _14, _2023",5/14/23,6:43:58 PM,41:56.0,41:59.3,,,,,,,,,,,00:03.3,3.30,ON,Very short swim through,
May_08_2023_135727_1892,NA,N,"May _14, _2023",5/14/23,6:47:36 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1893,Y,Y,"May _14, _2023",5/14/23,__6:51:40 PM,50:31.7,50:59.3,50:53.8,51:06.0,,,,,,,,,00:39.8,39.80,ON,Two seals foraging,
May_08_2023_135727_1894,Y,Y,"May _14, _2023",5/14/23,6:56:28 PM,54:01.4,54:39.4,55:22.5,55:37.0,,,,,,,,,00:52.5,52.50,ON,Quite a bit of fish activity,
May_08_2023_135727_1895,NA,N,"May _14, _2023",5/14/23,7:00:06 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1896,Y,Y,"May _14, _2023",5/14/23,7:03:52 PM,03:16.3,03:24.2,,,,,,,,,,,00:07.9,7.90,ON,Quick swim trhough school of fish with a turn,
May_08_2023_135727_1897,N,Y,"May _14, _2023",5/14/23,7:07:32 PM,06:44.8,07:17.0,,,,,,,,,,,00:32.2,32.20,ON,Faint float through but I feel confident that it is a seal,
May_08_2023_135727_1898,N,Y,"May _14, _2023",5/14/23,7:11:12 PM,10:47.9,11:10.6,,,,,,,,,,,00:22.7,22.70,ON,End of file,
May_08_2023_135727_1899,Y,Y,"May _14, _2023",5/14/23,__7:15:32 PM,11:10.7,11:13.1,12:59.6,13:13.2,14:37.7,15:09.5,,,,,,,00:47.8,47.80,ON,,
May_08_2023_135727_1900,N,Y,"May _14, _2023",5/14/23,__7:19:24 PM,17:31.9,17:35.0,19:11.6,19:22.9,,,,,,,,,00:14.4,14.40,ON,End of file. Both quite faint and definitley not foraging,
May_08_2023_135727_1901,N,Y,"May _14, _2023",5/14/23,__7:23:00 PM,19:22.9,19:55.8,,,,,,,,,,,00:32.9,32.90,ON,,
May_08_2023_135727_1902,Y,Y,"May _14, _2023",5/14/23,__7:26:48 PM,24:02.4,24:51.4,,,,,,,,,,,00:49.0,49.00,ON,Saw a fish response so even though there isn't a circle there is certainly a foraging event,
May_08_2023_135727_1903,Y,Y,"May _14, _2023",5/14/23,__7:30:38 PM,28:15.2,28:39.1,,,,,,,,,,,00:23.9,23.90,ON,Again a swim through but there is a fish response from a school,
May_08_2023_135727_1904,Y,Y,"May _14, _2023",5/14/23,7:34:46 PM,32:14.7,32:40.0,32:57.2,33:25.0,,,,,,,,,00:53.1,53.10,ON,Several swirls of a seal,
May_08_2023_135727_1905,N,Y,"May _14, _2023",5/14/23,7:39:00 PM,35:35.4,35:44.9,36:00.8,36:33.0,36:48.2,36:55.9,37:15.3,37:20.7,,,,,00:54.8,54.80,ON,A few short swoops in on the bridge side of the fov,
May_08_2023_135727_1906,Y,Y,"May _14, _2023",5/14/23,__7:43:28 PM,39:15.6,40:12.3,40:44.9,41:08.7,,,,,,,,,01:20.5,80.50,ON,Several circles of a seal foraging,
May_08_2023_135727_1907,NA,N,"May _14, _2023",5/14/23,__7:47:58 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1908,NA,N,"May _14, _2023",5/14/23,7:52:44 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1909,NA,N,"May _14, _2023",5/14/23,__7:57:20 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1910,NA,N,"May _14, _2023",5/14/23,8:02:06 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1911,NA,N,"May _14, _2023",5/14/23,__8:07:08 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1912,NA,N,"May _14, _2023",5/14/23,8:12:12 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1913,NA,N,"May _14, _2023",5/14/23,__8:16:56 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1914,NA,N,"May _14, _2023",5/14/23,8:21:04 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1915,NA,N,"May _14, _2023",5/14/23,__8:25:16 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1916,NA,N,"May _14, _2023",5/14/23,8:29:34 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1917,N,Y,"May _14, _2023",5/14/23,8:34:10 PM,33:24.2,34:08.4,,,,,,,,,,,00:44.2,44.20,ON,Will continue onto the next file,
May_08_2023_135727_1918,N,Y,"May _14, _2023",5/14/23,__8:39:06 PM,34:08.5,34:17.1,,,,,,,,,,,00:08.6,8.60,ON,Floats out of frame continued from last file,
May_08_2023_135727_1919,NA,N,"May _14, _2023",5/14/23,8:44:06 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1920,NA,N,"May _14, _2023",5/14/23,8:48:56 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1921,NA,N,"May _14, _2023",5/14/23,__8:53:48 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1922,NA,N,"May _14, _2023",5/14/23,8:58:40 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1923,NA,N,"May _14, _2023",5/14/23,__9:03:32 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1924,NA,N,"May _14, _2023",5/14/23,__9:08:22 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1925,NA,N,"May _14, _2023",5/14/23,9:13:08 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1926,NA,N,"May _14, _2023",5/14/23,9:18:00 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1927,NA,N,"May _14, _2023",5/14/23,9:23:04 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1928,NA,N,"May _14, _2023",5/14/23,9:28:08 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1929,NA,N,"May _14, _2023",5/14/23,9:33:12 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1930,NA,N,"May _14, _2023",5/14/23,9:38:16 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1931,NA,N,"May _14, _2023",5/14/23,9:43:20 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1932,NA,N,"May _14, _2023",5/14/23,9:48:24 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1933,NA,N,"May _14, _2023",5/14/23,9:53:28 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1934,NA,N,"May _14, _2023",5/14/23,9:58:34 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1935,NA,N,"May _14, _2023",5/14/23,__10:03:38 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1936,NA,N,"May _14, _2023",5/14/23,10:08:42 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1937,NA,N,"May _14, _2023",5/14/23,10:13:46 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1938,NA,N,"May _14, _2023",5/14/23,__10:18:50 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1939,NA,N,"May _14, _2023",5/14/23,10:23:54 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1940,NA,N,"May _14, _2023",5/14/23,10:29:00 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1941,NA,N,"May _14, _2023",5/14/23,10:34:04 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1942,NA,N,"May _14, _2023",5/14/23,__10:39:08 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1943,NA,N,"May _14, _2023",5/14/23,__10:44:12 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1944,N,Y,"May _14, _2023",5/14/23,10:49:16 PM,46:55.7,47:07.8,47:05.7,48:10.8,,,,,,,,,01:17.2,77.20,ON,Swim away from transducer then towards it soon after,
May_08_2023_135727_1945,NA,N,"May _14, _2023",5/14/23,__10:54:20 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1946,NA,N,"May _14, _2023",5/14/23,10:59:24 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1947,NA,N,"May _14, _2023",5/14/23,11:04:28 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1948,NA,N,"May _14, _2023",5/14/23,__11:09:32 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1949,NA,N,"May _14, _2023",5/14/23,__11:14:36 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1950,NA,N,"May _14, _2023",5/14/23,__11:19:40 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1951,NA,N,"May _14, _2023",5/14/23,11:24:44 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1952,N,Y,"May _14, _2023",5/14/23,__11:29:48 PM,28:03.7,28:09.0,,,,,,,,,,,00:05.3,5.30,ON,Very fast swim through,
May_08_2023_135727_1953,NA,N,"May _14, _2023",5/14/23,11:34:52 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1954,N,Y,"May _14, _2023",5/14/23,__11:39:56 PM,39:50.9,39:55.3,,,,,,,,,,,00:04.4,4.40,ON,Very short swim across,
May_08_2023_135727_1955,NA,N,"May _14, _2023",5/14/23,__11:45:00 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1956,NA,N,"May _14, _2023",5/14/23,__11:50:04 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_1957,NA,N,"May _14, _2023",5/14/23,__11:55:08 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
,,,,,,,,,,,,,,,,,,,,,,
May_15_2023_122629_1438,N,Y,"_May _19, _2023",5/19/23,11:59:10 PM,57:54.2,58:06.1,,,,,,,,,,,00:11.9,11.90,OFF,Single swim through,
,,,,,,,,,,,,,,,,,,,,,,
May_15_2023_122629_1439,NA,N,"May _20, _2023",5/20/23,__12:03:48 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,Some fish but not a ton and no schools,
May_15_2023_122629_1440,NA,N,"May _20, _2023",5/20/23,12:08:36 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1441,NA,N,"May _20, _2023",5/20/23,__12:13:24 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1442,NA,N,"May _20, _2023",5/20/23,12:18:14 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1443,NA,N,"May _20, _2023",5/20/23,12:23:02 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1444,N,Y,"May _20, _2023",5/20/23,12:27:50 AM,25:24.2,25:37.3,,,,,,,,,,,00:13.1,13.10,OFF,Swims out from under the bridge,
May_15_2023_122629_1445,NA,N,"May _20, _2023",5/20/23,__12:32:38 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1446,NA,N,"May _20, _2023",5/20/23,__12:37:28 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1447,NA,N,"May _20, _2023",5/20/23,__12:42:14 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1448,NA,N,"May _20, _2023",5/20/23,12:47:04 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1449,NA,N,"May _20, _2023",5/20/23,__12:51:52 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1450,NA,N,"May _20, _2023",5/20/23,12:56:40 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1451,NA,N,"May _20, _2023",5/20/23,1:01:26 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,Some lone fish but no schools,
May_15_2023_122629_1452,NA,N,"May _20, _2023",5/20/23,1:06:14 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1453,NA,N,"May _20, _2023",5/20/23,1:11:02 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1454,NA,N,"May _20, _2023",5/20/23,1:15:50 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1455,NA,N,"May _20, _2023",5/20/23,1:20:40 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1456,NA,N,"May _20, _2023",5/20/23,__1:25:28 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1457,NA,N,"May _20, _2023",5/20/23,1:30:16 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1458,NA,N,"May _20, _2023",5/20/23,1:35:04 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1459,NA,N,"May _20, _2023",5/20/23,1:39:52 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1460,NA,N,"May _20, _2023",5/20/23,1:44:40 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1461,NA,N,"May _20, _2023",5/20/23,__1:49:28 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1462,NA,N,"May _20, _2023",5/20/23,__1:54:16 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1463,NA,N,"May _20, _2023",5/20/23,__1:59:06 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1464,NA,N,"May _20, _2023",5/20/23,__2:03:58 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1465,NA,N,"May _20, _2023",5/20/23,__2:08:48 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1466,NA,N,"May _20, _2023",5/20/23,__2:13:36 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1467,NA,N,"May _20, _2023",5/20/23,__2:18:24 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1468,NA,N,"May _20, _2023",5/20/23,__2:23:12 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
May_15_2023_122629_1469,NA,N,"May _20, _2023",5/20/23,__2:28:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,
