File,Foraging (Y/N),Seal_Presence,Original_Date (Do Not Use for R),Date,File_Timestamp,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,FGS_Status,Notes,
May_08_2023_135727_460,NA,N," _May _10, _2023",5/10/23,3:43:24 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_461,NA,N," _May _10, _2023",5/10/23,3:48:38 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_462,NA,N," _May _10, _2023",5/10/23,__3:53:44 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_463,NA,N," _May _10, _2023",5/10/23,3:58:56 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_464,NA,N," _May _10, _2023",5/10/23,__4:04:06 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_465,NA,N," _May _10, _2023",5/10/23,__4:09:12 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_466,NA,N," _May _10, _2023",5/10/23,__4:14:14 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_467,NA,N," _May _10, _2023",5/10/23,__4:19:18 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_468,NA,N," _May _10, _2023",5/10/23,__4:24:22 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_469,NA,N," _May _10, _2023",5/10/23,__4:29:20 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_470,NA,N," _May _10, _2023",5/10/23,4:34:24 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_471,NA,N," _May _10, _2023",5/10/23,__4:39:26 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_472,NA,N," _May _10, _2023",5/10/23,__4:44:24 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_473,NA,N," _May _10, _2023",5/10/23,4:49:26 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_474,NA,N," _May _10, _2023",5/10/23,__4:54:14 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Fish are beginning to school pretty large,
May_08_2023_135727_475,NA,N," _May _10, _2023",5/10/23,4:58:52 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_476,NA,N," _May _10, _2023",5/10/23,__5:03:38 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_477,NA,N," _May _10, _2023",5/10/23,__5:08:30 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_478,NA,N," _May _10, _2023",5/10/23,5:13:24 AM,,,,,,,,,,,,,00:00.0,0.00,ON,More tightly schooled fish but still there,
May_08_2023_135727_479,NA,N," _May _10, _2023",5/10/23,__5:17:50 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_480,NA,N," _May _10, _2023",5/10/23,5:22:54 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Not much going on,
May_08_2023_135727_481,NA,N," _May _10, _2023",5/10/23,__5:27:18 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Big school of fish,
May_08_2023_135727_482,NA,N," _May _10, _2023",5/10/23,__5:32:16 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Lots of small groups of fish,
May_08_2023_135727_483,NA,N," _May _10, _2023",5/10/23,5:36:48 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Massive school,
May_08_2023_135727_484,NA,N," _May _10, _2023",5/10/23,5:41:42 AM,,,,,,,,,,,,,00:00.0,0.00,ON,schools of fish being preyed on by larger fish in small groups?,
May_08_2023_135727_485,NA,N," _May _10, _2023",5/10/23,__5:46:42 AM,,,,,,,,,,,,,00:00.0,0.00,ON,schools of fish being preyed on by larger fish in small groups?,
May_08_2023_135727_486,NA,N," _May _10, _2023",5/10/23,__5:51:46 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_487,NA,N," _May _10, _2023",5/10/23,__5:56:40 AM,,,,,,,,,,,,,00:00.0,0.00,ON,No fish anymore,
May_08_2023_135727_488,NA,N," _May _10, _2023",5/10/23,__6:01:28 AM,,,,,,,,,,,,,00:00.0,0.00,ON,A couple of schools temporarily in view,
May_08_2023_135727_489,NA,N," _May _10, _2023",5/10/23,__6:06:18 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_490,NA,N," _May _10, _2023",5/10/23,__6:11:06 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_491,NA,N," _May _10, _2023",5/10/23,6:15:46 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_492,NA,N," _May _10, _2023",5/10/23,6:20:22 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_493,NA,N," _May _10, _2023",5/10/23,6:24:58 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_494,NA,N," _May _10, _2023",5/10/23,__6:29:44 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_495,NA,N," _May _10, _2023",5/10/23,__6:34:34 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_496,NA,N," _May _10, _2023",5/10/23,__6:39:24 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_497,NA,N," _May _10, _2023",5/10/23,6:44:22 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Lots of small groups swimming through. The last bit has something that looks a bit like a seal but not in normal speed looks like two fish close together,
May_08_2023_135727_498,NA,N," _May _10, _2023",5/10/23,6:49:26 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_499,NA,N," _May _10, _2023",5/10/23,6:54:30 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_500,NA,N," _May _10, _2023",5/10/23,__6:59:34 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_501,NA,N," _May _10, _2023",5/10/23,__7:04:34 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_502,NA,N," _May _10, _2023",5/10/23,7:09:26 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_503,NA,N," _May _10, _2023",5/10/23,__7:14:30 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_504,NA,N," _May _10, _2023",5/10/23,__7:19:36 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_505,Y,Y," _May _10, _2023",5/10/23,7:24:48 AM,20:11.3,20:41.3,,,,,,,,,,,00:30.0,30.00,ON,Swims toward fish and turns sharp,
May_08_2023_135727_506,NA,N," _May _10, _2023",5/10/23,__7:30:04 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_507,NA,N," _May _10, _2023",5/10/23,7:35:00 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_508,NA,N," _May _10, _2023",5/10/23,__7:40:06 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_509,NA,N," _May _10, _2023",5/10/23,7:45:20 AM,,,,,,,,,,,,,00:00.0,0.00,ON,There is a predator but it is much too small to be a seal <0.5 m,
May_08_2023_135727_510,N,Y," _May _10, _2023",5/10/23,7:50:24 AM,49:34.8,49:44.8,,,,,,,,,,,00:10.0,10.00,ON,Swims across FOV. Pretty small but large enough to be a seal.,
May_08_2023_135727_511,Y,Y," _May _10, _2023",5/10/23,__7:55:28 AM,52:03.3,52:32.8,,,,,,,,,,,00:29.5,29.50,ON,Clear foraging swimming in circles,
May_08_2023_135727_512,NA,N," _May _10, _2023",5/10/23,__8:00:20 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Clear responses from schools of fish but no seal in FOV,
May_08_2023_135727_513,NA,N," _May _10, _2023",5/10/23,8:05:24 AM,,,,,,,,,,,,,00:00.0,0.00,ON,One larger target that measured to about 0.6m and didn't have clear seal movement or behavior.,
May_08_2023_135727_514,Y,Y," _May _10, _2023",5/10/23,__8:10:36 AM,06:59.6,07:22.4,,,,,,,,,,,00:22.8,22.80,ON,Swims in and feeds then slowly drifts out down below,
May_08_2023_135727_515,Y,Y," _May _10, _2023",5/10/23,8:15:52 AM,10:34.4,10:46.8,12:27.6,12:40.7,13:50.6,13:57.3,14:10.8,14:14.0,15:40.4,15:43.4,,,00:38.4,38.40,ON,One sea lion and some seals feeding on small schools of fish,
May_08_2023_135727_516,Y,Y," _May _10, _2023",5/10/23,__8:20:50 AM,17:34.4,17:40.7,17:52.2,18:15.9,18:31.1,18:40.4,18:41.8,18:46.6,19:59.6,20:28.5,,,01:13.0,73.00,ON,one really slow float through and a lot of foraging,
May_08_2023_135727_517,Y,Y," _May _10, _2023",5/10/23,8:25:36 AM,20:49.4,20:56.2,,,,,,,,,,,00:06.8,6.80,ON,One strike at a school. Lots of fish present,
May_08_2023_135727_518,N,Y," _May _10, _2023",5/10/23,__8:30:02 AM,29:58.0,30:01.4,,,,,,,,,,,00:03.4,3.40,ON,Very end of file has a seal swimming into frame.,
May_08_2023_135727_519,Y,Y," _May _10, _2023",5/10/23,8:34:30 AM,30:01.5,30:21.1,31:55.9,32:38.7,,,,,,,,,01:02.4,62.40,ON,Multile foraging strikes and one slow drift through,
May_08_2023_135727_520,Y,Y," _May _10, _2023",5/10/23,__8:39:06 AM,36:06.2,36:13.1,37:43.8,38:09.1,38:21.2,38:26.7,,,,,,,00:37.7,37.70,ON,A lot of foraging and a lot of schools of fish,
May_08_2023_135727_521,Y,Y," _May _10, _2023",5/10/23,__8:44:00 AM,41:44.3,42:12.6,42:30.0,42:43.7,,,,,,,,,00:42.0,42.00,ON,Cool strike on a school of fish,
May_08_2023_135727_522,NA,N," _May _10, _2023",5/10/23,8:49:02 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_523,Y,Y," _May _10, _2023",5/10/23,8:53:50 AM,51:04.1,51:43.1,51:46.4,51:51.9,53:34.0,53:46.8,,,,,,,00:57.3,57.30,ON,Foraging on schools of fish. Lots of fish,
May_08_2023_135727_524,Y,Y," _May _10, _2023",5/10/23,8:58:48 AM,53:59.0,54:25.3,56:21.2,56:45.8,,,,,,,,,00:50.9,50.90,ON,A couple of strikes on schools of fish,
May_08_2023_135727_525,N,Y," _May _10, _2023",5/10/23,9:03:42 AM,59:03.1,59:33.8,,,,,,,,,,,00:30.7,30.70,ON,One swim in and turn around with slow float out,
May_08_2023_135727_526,Y,Y," _May _10, _2023",5/10/23,__9:08:46 AM,04:32.0,05:24.6,,,,,,,,,,,00:52.6,52.60,ON,Swims into school of fish,
May_08_2023_135727_527,Y,Y," _May _10, _2023",5/10/23,__9:13:50 AM,08:49.1,08:56.2,09:11.7,09:25.1,10:08.2,10:24.0,10:31.1,10:51.2,11:49.4,12:03.0,12:15.2,12:32.2,01:27.0,87.00,ON,A lot of seal activity and a good bit of fish activity. Likely a large salmon swim through. Interesting,
May_08_2023_135727_528,Y,Y," _May _10, _2023",5/10/23,__9:18:52 AM,14:50.7,15:31.3,15:35.1,15:38.8,17:40.7,18:20.7,18:23.7,18:31.4,,,,,01:32.0,92.00,ON,A lot of foraging.,
May_08_2023_135727_529,Y,Y," _May _10, _2023",5/10/23,__9:23:56 AM,22:13.3,22:33.3,,,,,,,,,,,00:20.0,20.00,ON,A few circles of a seal foraging,
May_08_2023_135727_530,Y,Y," _May _10, _2023",5/10/23,9:28:44 AM,24:42.2,24:56.0,,,,,,,,,,,00:13.8,13.80,ON,swims across but through a school of fish,
May_08_2023_135727_531,NA,N," _May _10, _2023",5/10/23,9:33:42 AM,,,,,,,,,,,,,00:00.0,0.00,ON,some fish but not a ton,
May_08_2023_135727_532,Y,Y," _May _10, _2023",5/10/23,9:38:30 AM,34:06.8,34:16.3,34:33.8,34:48.8,,,,,,,,,00:24.5,24.50,ON,two seals both foraging on schools of fish,
