taxonomic_path	common_name	% samples positive in project
Animalia;Arthropoda;Insecta;Diptera;Chironomidae;NA;Chironomidae sp. BOLD-2016	""	0.81
Animalia;Echinodermata;Ophiuroidea;Ophiurida	""	0.81
Animalia;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera sp. CMC03	Bloodworms	6.5
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos	Green algae	39.84
Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Orthopyxis;Orthopyxis integra	Hydralike animals	5.69
Chromista;Bacillariophyta;Bacillariophyceae	Diatoms	18.7
Animalia;Chordata;Mammalia;Primates;Hominidae	""	19.51
Fungi;Ascomycota;NA;NA;NA;Tetracladium	Asco's	4.07
Animalia;Annelida;Polychaeta;Phyllodocida;Hesionidae;Micropodarke;Micropodarke dubia	Scale Worm	11.38
Chromista;NA;Dinophyceae;Syndiniales;Syndiniaceae;Hematodinium;Hematodinium sp.	Dinoflagellates	19.51
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA;Pfiesteriaceae sp. CCMP1881	Dinoflagellates	18.7
Animalia;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. C AC-2013	Calanoid Copepods	30.89
Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae;Boletus	Porcini And Allies	0.81
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia	Diatoms	9.76
Chromista;NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;Symbiodinium sp. CS-158	Dinoflagellates	21.95
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira nordenskioeldii	Diatoms	31.71
Animalia;Arthropoda;Arachnida;Oribatida	""	0.81
Animalia;Arthropoda;Insecta;Coleoptera	""	4.88
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB59	Α-proteobacteria	8.94
Chromista;NA;Dinophyceae;Pyrocystales;Pyrocystaceae;Pyrocystis	Dinoflagellates	7.32
Plantae;NA;Florideophyceae;Ceramiales;Ceramiaceae;Pleonosporium;Pleonosporium squarrosum	Plants	1.63
Chromista;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella	Chromists	12.2
Animalia;Annelida;Polychaeta;Capitellida;Capitellidae;Barantolla;Barantolla americana CMC01	Capitellid worms	2.44
Chromista;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa triquetra	Dinoflagellates	36.59
Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis sp. CMC02	Nereids	4.07
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Peridinium;Peridinium willei	Dinoflagellates	3.25
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Peridinium;Peridinium sp. ES18-126	""	1.63
Fungi;Ascomycota;Eurotiomycetes;Eurotiales	Asco's	7.32
Animalia;Arthropoda;Insecta;Lepidoptera;Gracillariidae;Parornix	""	0.81
Animalia;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Muggiaea;Muggiaea atlantica	Siphonophores	9.76
Animalia;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Coryne;Coryne eximia	Flowerhead polyps	5.69
Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Eudistylia;Eudistylia vancouveri	Fanworms	1.63
Fungi;Ascomycota;Dothideomycetes;Pleosporales	Asco's	4.88
Fungi;Ascomycota;Dothideomycetes;Capnodiales	""	7.32
Animalia;Echinodermata	""	3.25
Animalia;Chordata;Actinopteri;NA;Embiotocidae	""	0.81
Animalia;Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus	Barnacle	4.07
Chromista;NA;NA;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi	Chromists	31.71
Animalia;Arthropoda;Maxillopoda;Sessilia	Arthropod	22.76
Chromista;NA;Dictyochophyceae;Dictyochales;NA;Dictyocha;Dictyocha speculum	Brown algae	16.26
Fungi;Basidiomycota;Pucciniomycetes;Pucciniales;Melampsoraceae;Melampsora	""	0.81
Plantae;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus exasperatus	Plants	17.07
Protozoa;NA;NA;NA;Paramoebidae	Protozoans	13.82
Chromista;Phaeophyceae;NA;Ectocarpales;Chordariaceae	Chromists	14.63
Plantae;NA;Florideophyceae;Ceramiales;Delesseriaceae;Phycodrys;Phycodrys isabelliae	""	1.63
Plantae;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus corymbiferus	Plants	4.07
Animalia;Chordata;Actinopteri;Blenniiformes;Blenniidae;Blenniella	""	0.81
Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae	Hydralike animals	18.7
Plantae;NA;Bangiophyceae;Bangiales;Bangiaceae;Wildemania;Wildemania sp. 5POR	Plants	0.81
Chromista;NA;Dinophyceae;Peridiniales;Ostreopsidaceae	Dinoflagellates	3.25
Animalia;Chordata;Chondrichthyes;Squaliformes;Squalidae;Squalus	Spiny dogfish	4.07
Animalia;Nemertea;Anopla;Heteronemertea	""	0.81
Plantae;Chlorophyta;NA;NA;Pycnococcaceae	Green algae	47.97
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae	Diatoms	30.08
Animalia;Echinodermata;Holothuroidea;Dendrochirotida;Psolidae;Psolus;Psolus chitonoides	Armoured sea cucumber	1.63
Chromista;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus polymorphus	Diatoms	51.22
Chromista;NA;Dinophyceae;Suessiales;Suessiaceae;Polarella;Polarella glacialis	Dinoflagellates	6.5
Animalia;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus	Calanoid Copepods	8.13
Animalia;Annelida;Polychaeta;Phyllodocida;Goniadidae;Glycinde;Glycinde armigera	Scale Worm	1.63
Animalia;Mollusca;Gastropoda;NA;Columbellidae	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Leptocottus;Leptocottus armatus	Pacific staghorn sculpin	0.81
Chromista;NA;NA;Phaeocystales;Phaeocystaceae;Phaeocystis	Chromists	25.2
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium	Blue Mould Rot	8.13
Chromista;NA;Dinophyceae;Lophodiniales;Lophodiniaceae;Woloszynskia;Woloszynskia sp. ES1-2	Dinoflagellates	4.07
Chromista;Bacillariophyta;Fragilariophyceae	Diatoms	10.57
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium	Diatoms	7.32
Plantae;NA;Florideophyceae;Corallinales;Corallinaceae;Neogoniolithon	""	1.63
Animalia;Cnidaria;Hydrozoa;Siphonophorae	""	1.63
Animalia;Arthropoda;Arachnida;Trombidiformes;Tetranychidae	""	0.81
Plantae;NA;Florideophyceae;Colaconematales;Colaconemataceae;Colaconema	""	4.07
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum sp. S4-17	""	4.07
Chromista;NA;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium sp. AL-2010	Chromists	1.63
Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Campanularia;Campanularia volubilis	""	0.81
Chromista;Bacillariophyta;Coscinodiscophyceae;Melosirales;Hyalodiscaceae;Podosira;Podosira stelligera	Diatoms	4.88
Animalia;Arthropoda;Malacostraca;Decapoda;Varunidae;Pseudograpsus;Pseudograpsus albus	""	4.07
Chromista;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;Ditylum;Ditylum brightwellii	Diatoms	54.47
Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Thelepus;Thelepus crispus	Spaghetti Worms	1.63
Chromista;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata	Dinoflagellates	30.08
Animalia;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae	Arrow worms	0.81
Chromista;NA;Dinophyceae;Lophodiniales;Lophodiniaceae;Woloszynskia	Dinoflagellates	20.33
Animalia;Arthropoda;Malacostraca;Amphipoda;Phoxocephalidae	""	4.07
Animalia;Chordata;Mammalia;NA;Suidae;Sus;Sus scrofa	Wild Boar/Pig	8.13
Animalia;Chordata;NA;Squamata	""	2.44
Chromista;NA;Oomycetes;Pythiales;Pythiaceae;Pythium	Chromists	5.69
Plantae;NA;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia perforata	""	2.44
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros socialis	Diatoms	39.02
Animalia;Cnidaria;Hydrozoa	Hydralike animals	29.27
Animalia;Arthropoda;Arachnida;Araneae	""	7.32
Animalia;Mollusca;Bivalvia;Veneroida;Veneridae;Saxidomus;Saxidomus gigantea	Washington butterclam	13.82
Animalia;Mollusca;Gastropoda;NA;Muricidae;Drupa	""	0.81
Animalia;Arthropoda;Insecta;Diptera	Gnats	12.2
Animalia;Cnidaria;Anthozoa;Actiniaria;Metridiidae;Metridium;Metridium senile	Brown sea anemone	6.5
Animalia;Annelida;Polychaeta;Spionida;Spionidae;Laonice;Laonice cirrata CMC01	Spionid worms	5.69
Animalia;Mollusca;Bivalvia;Veneroida;Veneridae;Nutricola;Nutricola tantilla	Purple dwarf-venus	10.57
Animalia;Arthropoda;Maxillopoda;Sessilia;Balanidae;Amphibalanus;Amphibalanus sp. AFG-2015	Arthropod	1.63
Plantae;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Salishia;Salishia sanguinea	Plants	3.25
Fungi;Basidiomycota;Agaricomycetes;Agaricales	Agarics	4.88
Animalia;Mollusca;Gastropoda	Gastropods	26.02
Chromista;NA;NA;Isochrysidales;Noelaerhabdaceae	Chromists	21.14
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia lundholmiae	""	2.44
Animalia;Arthropoda;Arachnida;Astigmata	""	0.81
Animalia;Chordata;Ascidiacea;Stolidobranchia	""	1.63
Chromista;NA;Dinophyceae;Peridiniales;Thoracosphaeraceae;Scrippsiella;Scrippsiella precaria	Dinoflagellates	8.13
Plantae;Chlorophyta	Green algae	19.51
Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Pista;Pista wui	""	1.63
Plantae;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella californica	Plants	1.63
Plantae;NA;Florideophyceae;Ceramiales;Delesseriaceae	Plants	3.25
Animalia;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae	""	0.81
Animalia;Arthropoda;Insecta;Hemiptera;Aleyrodidae;Paraleyrodes;Paraleyrodes bondari	""	0.81
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium tenuissimum	""	1.63
Animalia;Cnidaria;Hydrozoa;Anthoathecata;Proboscidactylidae;Proboscidactyla;Proboscidactyla flavicirrata	Hydroid	10.57
Animalia;Mollusca;Gastropoda;NA;Planorbidae;Bulinus;Bulinus umbilicatus	""	0.81
Chromista;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Alexandrium	Dinoflagellates	6.5
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Akashiwo	""	2.44
Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia	Bushy wineglass hydroids	8.13
Chromista;NA;Oomycetes;Saprolegniales;Saprolegniaceae	Chromists	8.13
Animalia;Cnidaria;Hydrozoa;Anthoathecata;Stylasteridae;Stylaster;Stylaster californicus	""	0.81
Animalia;Cnidaria;Anthozoa;Pennatulacea;Virgulariidae;Acanthoptilum;Acanthoptilum gracile	Frail sea pen	6.5
Animalia;Arthropoda	Arthropod	12.2
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	Pyrenomycete	2.44
Chromista;Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis	""	1.63
Animalia;Arthropoda;Insecta;Orthoptera;Acrididae	""	1.63
Animalia;Arthropoda;Maxillopoda;Calanoida;Calanidae;Calanus;Calanus pacificus	Calanoid Copepods	9.76
Animalia;Arthropoda;Insecta;Diptera;Chironomidae	""	2.44
Chromista;Bacillariophyta;Fragilariophyceae;Thalassionemales;Thalassionemataceae;Thalassionema;Thalassionema nitzschioides	Diatoms	30.89
Chromista;Eustigmatophyceae;NA;Eustigmatales;Eustigmataceae	Chromists	0.81
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter	Α-proteobacteria	17.07
