Region_ID,Region_name,Region_class,TAST_Status,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
3,Region 3,Unclassified regions,OFF,5,0.509704,566,638,0,5/31/2023, 22:17:39.6250,999,999,8849463.549,60,74.401644,4.504667,1.2394,0.275044,8.274,10.2549,0.509704,-9999,4.428591,4.905471,3.764802,0.278966,-9999,-9999,-9999,-9999,-9999,-9999
4,Region 4,Unclassified regions,OFF,6,0.313649,2593,2729,0,5/31/2023, 22:47:15.6010,999,999,45279051825,78,106.209996,19.297554,1.8166,-1.818614,15.823,28.7437,0.313649,-9999,16.442577,18.790812,15.437616,3.316738,-9999,-9999,-9999,-9999,-9999,-9999
5,Region 5,Unclassified regions,OFF,6,0.265222,2801,2963,0,5/31/2023, 22:47:40.8350,999,999,31641513014,86,107.337863,23.429569,1.3131,5.728383,18.717,24.5766,0.265222,-9999,20.118753,21.20511,19.29532,-0.29775,-9999,-9999,-9999,-9999,-9999,-9999
6,Region 6,Unclassified regions,OFF,7,0.427875,910,1042,0,6/1/2023, 00:29:24.5730,999,999,313506194,110,86.892034,8.873578,1.6832,4.277342,15.224,25.6244,0.427875,-9999,8.112345,9.485386,6.037508,1.329635,-9999,-9999,-9999,-9999,-9999,-9999
12,Region 12,Unclassified regions,OFF,8,0.437522,2577,2701,0,6/1/2023, 01:57:12.5420,999,999,1710358948,87,91.289404,12.860162,5.2213,0.029186,14.368,75.0201,0.437522,-9999,10.294059,12.326772,9.252029,1.41023,-9999,-9999,-9999,-9999,-9999,-9999
4,Region 4,Unclassified regions,OFF,9,0.37113,3549,3697,0,6/1/2023, 03:27:41.9070,999,999,1.14799E+12,99,119.508642,26.353875,2.2583,-13.390865,17.175,38.7864,0.37113,-9999,22.191053,27.34457,19.180531,-8.121177,-9999,-9999,-9999,-9999,-9999,-9999
6,Region 6,Unclassified regions,OFF,10,0.354572,0,96,0,6/1/2023, 03:27:56.1090,999,999,15878017312,67,101.469322,18.42335,3.2328,-3.513245,10.97,35.4642,0.354572,-9999,15.148362,19.308623,13.109404,-5.050796,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,OFF,10,0.451327,121,131,0,6/1/2023, 03:28:05.0710,999,999,77892287.91,11,86.089237,13.139141,1.1235,-1.001938,1.159,1.3022,0.451327,-9999,11.175291,11.79766,10.522372,-1.275288,-9999,-9999,-9999,-9999,-9999,-9999
13,Region 13,Unclassified regions,OFF,11,0.485261,603,707,0,6/1/2023, 03:51:09.1300,999,999,3636702683,103,97.588882,15.970294,1.6548,-8.897789,12.108,20.0362,0.485261,-9999,14.434998,21.030102,8.364686,-12.665416,-9999,-9999,-9999,-9999,-9999,-9999
14,Region 14,Unclassified regions,OFF,12,0.335047,3238,3268,0,6/6/2023, 22:27:45.0770,999,999,22322774789,30,110.364018,25.592986,1.294,-2.190366,3.496,4.5237,0.335047,-9999,19.846274,21.779888,17.607246,-4.172641,-9999,-9999,-9999,-9999,-9999,-9999
15,Region 15,Unclassified regions,OFF,13,0.333151,2436,2457,0,6/6/2023, 22:56:25.1320,999,999,1794412467,21,95.86909,17.655012,3.8079,0.76401,2.406,9.1619,0.333151,-9999,16.663248,17.802661,14.400732,3.401928,-9999,-9999,-9999,-9999,-9999,-9999
16,Region 16,Unclassified regions,OFF,13,0.475556,2382,2391,0,6/6/2023, 22:56:18.2430,999,999,20636056,10,82.152489,11.104504,1.3919,1.375545,1.022,1.4226,0.475556,-9999,10.448231,11.097054,9.701149,1.395906,-9999,-9999,-9999,-9999,-9999,-9999
21,Region 21,Unclassified regions,OFF,14,0.428409,995,1074,0,6/7/2023, 00:38:50.1240,999,999,1231302996,76,92.068425,17.065259,6.5053,7.204762,8.954,58.2483,0.428409,-9999,15.774599,20.581675,10.528765,8.778496,-9999,-9999,-9999,-9999,-9999,-9999
23,Region 23,Unclassified regions,OFF,14,0.381879,1528,1601,0,6/7/2023, 00:39:50.9770,999,999,1129510234,53,94.655526,17.186492,5.6937,-5.094614,8.463,48.1856,0.381879,-9999,14.769382,19.356266,10.388315,-8.967951,-9999,-9999,-9999,-9999,-9999,-9999
24,Region 24,Unclassified regions,OFF,14,0.322263,1501,1503,0,6/7/2023, 00:39:43.8430,999,999,17136696.12,3,85.698515,12.918871,0.3895,-0.020468,0.231,0.09,0.322263,-9999,10.247697,10.288841,10.219297,-0.069544,-9999,-9999,-9999,-9999,-9999,-9999
26,Region 26,Unclassified regions,OFF,14,0.380619,1508,1537,0,6/7/2023, 00:39:46.0910,999,999,92627720.34,26,83.835636,13.93331,17.8049,2.222942,3.284,58.4714,0.380619,-9999,12.086325,14.759451,10.018789,2.297408,-9999,-9999,-9999,-9999,-9999,-9999
28,Region 28,Unclassified regions,OFF,14,0.369435,1504,1525,0,6/7/2023, 00:39:45.1910,999,999,57571908.52,21,83.759367,14.161948,27.4136,1.657368,2.347,64.3398,0.369435,-9999,11.52621,14.524788,9.194949,5.3197,-9999,-9999,-9999,-9999,-9999,-9999
29,Region 29,Unclassified regions,OFF,14,0.296626,1550,1614,0,6/7/2023, 00:39:52.9900,999,999,1196262914,50,94.358598,17.477986,1.0196,2.149171,7.358,7.5021,0.296626,-9999,16.901939,17.973223,15.399608,2.573615,-9999,-9999,-9999,-9999,-9999,-9999
32,Region 32,Unclassified regions,OFF,15,0.401345,436,461,0,6/7/2023, 00:45:56.2000,999,999,46695391.08,20,82.588342,12.695049,13.0559,3.743665,2.844,37.1311,0.401345,-9999,10.452625,12.762458,8.521075,4.241382,-9999,-9999,-9999,-9999,-9999,-9999
