Region_ID,Region_name,Region_class,TAST_Status,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
29,Region 29,Unclassified regions,ON,71,0.509053,2727,2823,0,6/6/2023, 15:19:42.4400,999,999,147264925.3,80,82.228602,6.966126,4.2098,-3.462777,10.57,44.4975,0.509053,-9999,6.560367,9.948272,4.166369,-1.893962,-9999,-9999,-9999,-9999,-9999,-9999
30,Region 30,Unclassified regions,ON,74,0.495545,558,692,0,6/6/2023, 15:22:51.3670,999,999,315036417.1,102,85.155988,7.479843,1.8879,-7.13711,14.769,27.882,0.495545,-9999,6.964114,10.562087,3.081029,-5.381421,-9999,-9999,-9999,-9999,-9999,-9999
31,Region 31,Unclassified regions,ON,74,0.713168,732,773,0,6/6/2023, 15:23:05.3600,999,999,45810603.06,42,81.324979,5.576895,1.4377,-3.937127,4.519,6.4969,0.713168,-9999,5.504188,7.181714,3.427276,-3.723508,-9999,-9999,-9999,-9999,-9999,-9999
34,Region 34,Unclassified regions,ON,74,0.481356,1892,2064,0,6/6/2023, 15:25:20.3420,999,999,231858678,128,83.109315,6.970949,2.6381,-4.786747,18.97,50.044,0.481356,-9999,6.753604,9.73247,3.25531,-4.372514,-9999,-9999,-9999,-9999,-9999,-9999
35,Region 35,Unclassified regions,ON,74,0.529579,2791,2829,0,6/6/2023, 15:26:51.6250,999,999,138792167.3,39,81.96178,8.920964,2.2412,-0.925773,4.134,9.2653,0.529579,-9999,8.390697,9.078156,6.857015,-2.221141,-9999,-9999,-9999,-9999,-9999,-9999
36,Region 36,Unclassified regions,ON,74,0.488911,2876,2920,0,6/6/2023, 15:27:01.2860,999,999,120706911.1,44,81.778658,4.287083,0.9818,-1.033406,4.906,4.8169,0.488911,-9999,4.158784,4.668682,3.747521,-0.805733,-9999,-9999,-9999,-9999,-9999,-9999
40,Region 40,Unclassified regions,ON,74,0.511208,2947,2988,0,6/6/2023, 15:27:08.9520,999,999,197638361.4,34,82.677686,6.476193,5.8437,-0.990056,4.576,26.7405,0.511208,-9999,6.200084,7.278543,5.447036,-0.994698,-9999,-9999,-9999,-9999,-9999,-9999
42,Region 42,Unclassified regions,ON,74,0.565345,3459,3601,0,6/6/2023, 15:28:10.8640,999,999,232284734.8,134,82.900625,5.483418,1.1972,-1.864435,15.637,18.7213,0.565345,-9999,5.053826,7.510045,2.943498,-1.146405,-9999,-9999,-9999,-9999,-9999,-9999
13,Region 13,Unclassified regions,ON,83,0.449276,1981,2023,0,6/6/2023, 16:46:22.2040,999,999,93559740.86,34,85.522694,14.358679,6.2662,3.930483,4.641,29.0814,0.449276,-9999,14.070335,16.261104,11.443108,4.055726,-9999,-9999,-9999,-9999,-9999,-9999
45,Region 45,Unclassified regions,ON,76,0.339216,1292,1347,0,6/13/2023, 02:13:22.7550,999,999,188044271.5,42,84.542103,11.30295,1.592,-0.341879,6.058,9.6445,0.339216,-9999,9.871667,11.757867,8.427877,-3.189853,-9999,-9999,-9999,-9999,-9999,-9999
14,Region 14,Unclassified regions,ON,84,0.520579,3816,3841,0,6/13/2023, 03:26:14.0640,999,999,47544182.8,20,84.064959,5.050179,0.8995,1.714872,2.753,2.4765,0.520579,-9999,3.704575,4.349914,3.114359,1.164208,-9999,-9999,-9999,-9999,-9999,-9999
1,Region 1,Unclassified regions,ON,77,0.595171,2252,2278,0,6/20/2023, 22:31:45.0630,999,999,288104135.2,27,89.172953,15.725631,1.412,-2.780285,2.994,4.2274,0.595171,-9999,12.687416,14.809961,10.735149,-4.074812,-9999,-9999,-9999,-9999,-9999,-9999
2,Region 2,Unclassified regions,ON,78,0.463363,734,748,0,6/21/2023, 00:00:33.3230,999,999,14072174.9,15,74.888917,5.14571,1.2393,-0.275965,1.627,2.0163,0.463363,-9999,4.838629,5.042502,4.574602,0.442693,-9999,-9999,-9999,-9999,-9999,-9999
