File,Date,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,Tast_Status,Seal_Presence,Notes
May_24_2023_144714_2456,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No seals present
May_24_2023_144714_2457,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2461,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2462,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,Blob that doesn’t change shape but moves around a little bit making me think it isn’t a seal
May_24_2023_144714_2465,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2466,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2467,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,Shape that gets distorted by the right side line going out
May_24_2023_144714_2468,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2469,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2471,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2472,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2473,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2474,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2475,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2479,6/6/2023,1:03:20 AM,1:06:28 AM,,,,,,,,,,,03:08,188.00,OFF,U,Movement looks a bit like a seal and the size is right but it does move really slow so it is iffy
May_24_2023_144714_2480,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,Some dark moving figures near the edge of the range. Not convincing though
May_24_2023_144714_2481,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2482,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2483,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2484,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2485,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2492,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2494,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2496,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2497,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2498,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2557,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2558,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2559,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2560,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2561,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2562,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2563,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2564,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2565,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2566,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2567,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2568,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2569,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2570,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2571,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present quick moving blob moves straight and is not convinving
May_24_2023_144714_2573,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2575,6/7/2023,2:33:33 PM,2:34:15 PM,,,,,,,,,,,00:42,41.80,OFF,U,"Small predator that moves a lot like a seal, definitely feeding on schools of fish. I think it is a seal"
May_24_2023_144714_2587,6/7/2023,4:01:42 PM,4:02:13 PM,,,,,,,,,,,00:31,30.50,OFF,U,faint figure at very start of file that is staying still despite the current that could definitely be a seal
May_24_2023_144714_2588,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2589,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2590,6/7/2023,4:31:43 PM,4:31:47 PM,,,,,,,,,,,00:04,4.40,OFF,Y,Bleeds into the next file. Very certain
May_24_2023_144714_2592,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_2593,6/7/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_3766,6/13/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present devoid of basically everything
