"sample_id"	"reads"	"percentage of overall results"	"notes"
"JDFB_56_082735"	6	4.6261243409700367e-7	"sample did not have any recorded observations for any assignments"
"JDFB_57_082825"	143575	0.011069930037579551	""
"JDFB_57_082825"	12	9.252248681940073e-7	"sample did not have any recorded observations for any assignments"
"JDFB_58_082825"	91118	0.007025386628341797	""
"JDFB_58_082825"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_59_082825"	146226	0.011274327631378077	""
"JDFB_59_082825"	4	3.0840828939800245e-7	"sample did not have any recorded observations for any assignments"
"JDFB_60_082825"	109371	0.008432730754937232	""
"JDFB_60_082825"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_61_082825"	148534	0.011452279214360725	""
"JDFB_61_082825"	8	6.168165787960049e-7	"sample did not have any recorded observations for any assignments"
"JDFB_62_082825"	110592	0.008526872385275972	""
"JDFB_62_082825"	6	4.6261243409700367e-7	"sample did not have any recorded observations for any assignments"
"JDFB_63_082825"	120511	0.009291647840910668	""
"JDFB_63_082825"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_64_082825"	99296	0.0076559273760160125	""
"JDFB_64_082825"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_65_082825"	124210	0.00957684840653147	""
"JDFB_65_082825"	4	3.0840828939800245e-7	"sample did not have any recorded observations for any assignments"
"JDFB_66_082825"	143660	0.011076483713729258	""
"JDFB_66_082825"	8	6.168165787960049e-7	"sample did not have any recorded observations for any assignments"
"JDFB_67_082825"	135822	0.010472157670653872	""
"JDFB_67_082825"	6	4.6261243409700367e-7	"sample did not have any recorded observations for any assignments"
"JDFB_68_082825"	95808	0.007386995347660954	""
"JDFB_68_082825"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_69_082825"	102566	0.007908051152598879	""
"JDFB_69_082825"	7	5.397145064465043e-7	"sample did not have any recorded observations for any assignments"
"JDFB_70_082825"	102022	0.007866107625240752	""
"JDFB_70_082825"	3	2.3130621704850183e-7	"sample did not have any recorded observations for any assignments"
"JDFB_71_092325"	57080	0.004400986289709495	""
"JDFB_71_092325"	6	4.6261243409700367e-7	"sample did not have any recorded observations for any assignments"
"JDFB_72_092325"	31105	0.0023982599604312166	""
"JDFB_72_092325"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_73_092425"	109679	0.008456478193220877	""
"JDFB_73_092425"	20	1.5420414469900121e-6	"sample did not have any recorded observations for any assignments"
"JDFB_74_092425"	83003	0.0063997033112256	""
"JDFB_74_092425"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_75_092425"	89918	0.006932864141522396	""
"JDFB_75_092425"	6	4.6261243409700367e-7	"sample did not have any recorded observations for any assignments"
"JDFB_76_092425"	116689	0.008996963720390877	""
"JDFB_76_092425"	26	2.004653881087016e-6	"sample did not have any recorded observations for any assignments"
"JDFB_77_092425"	130565	0.010066832076312548	""
"JDFB_77_092425"	4	3.0840828939800245e-7	"sample did not have any recorded observations for any assignments"
"JDFB_78_092425"	128297	0.00989196457622388	""
"JDFB_78_092425"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_79_092525"	133985	0.010330521163747839	""
"JDFB_79_092525"	9	6.939186511455055e-7	"sample did not have any recorded observations for any assignments"
"JDFB_80_092525"	154150	0.01188528445267552	""
"JDFB_80_092525"	11	8.481227958445068e-7	"sample did not have any recorded observations for any assignments"
"JDFB_81_092525"	119515	0.009214854176850565	""
"JDFB_81_092525"	14	1.0794290128930086e-6	"sample did not have any recorded observations for any assignments"
"JDFB_82_092525"	76439	0.0058936053083234775	""
"JDFB_82_092525"	5	3.8551036174750303e-7	"sample did not have any recorded observations for any assignments"
"JDFB_83_092525"	57043	0.004398133513032564	""
"JDFB_83_092525"	29	2.235960098135518e-6	"sample did not have any recorded observations for any assignments"
"JDFB_84_092525"	35856	0.002764571906163694	""
"JDFB_84_092525"	5	3.8551036174750303e-7	"sample did not have any recorded observations for any assignments"
"JDFB_85_092525"	112772	0.008694954902997883	""
"JDFB_85_092525"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_86_092525"	83529	0.006440259001281436	""
"JDFB_86_092525"	4	3.0840828939800245e-7	"sample did not have any recorded observations for any assignments"
"JDFB_87_092525"	128581	0.009913861564771137	""
"JDFB_87_092525"	16	1.2336331575920098e-6	"sample did not have any recorded observations for any assignments"
"JDFB_88_092525"	144897	0.01117185897722559	""
"JDFB_88_092525"	9	6.939186511455055e-7	"sample did not have any recorded observations for any assignments"
"JDFB_89_092525"	85642	0.006603175680155932	""
"JDFB_90_092525"	104225	0.0080359634906267	""
"JDFB_90_092525"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_BK1_01_062525"	16421	0.0012660931300511496	"sample did not have any recorded observations for any assignments"
"JDFB_BK1_03_062625"	25067	0.0019327176475849319	"sample did not have any recorded observations for any assignments"
"JDFB_BK1_05_072425"	71513	0.005513800499929837	"sample did not have any recorded observations for any assignments"
"JDFB_BK1_06_073025"	17295	0.0013334803412846132	"sample did not have any recorded observations for any assignments"
"JDFB_BK1_08_082625"	40758	0.003142526264820946	"sample did not have any recorded observations for any assignments"
"JDFB_BK1_10_082725"	92904	0.007163090929558005	"sample did not have any recorded observations for any assignments"
"JDFB_BK1_12_082825"	97330	0.007504344701776895	"sample did not have any recorded observations for any assignments"
"JDFB_BK1_14_092425"	14537	0.0011208328257446903	"sample did not have any recorded observations for any assignments"
"JDFB_BK1_16_092525"	97401	0.0075098189489137095	"sample did not have any recorded observations for any assignments"
"JDFB_BK2_02_062525"	63583	0.004902381066198298	"sample did not have any recorded observations for any assignments"
"JDFB_BK2_04_062625"	62583	0.004825278993848796	"sample did not have any recorded observations for any assignments"
