taxonomy,number_of_samples_observed,total_reads_observed_across_dataset
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae;Microgadus;Microgadus proximus,1,1
Animalia;Cnidaria;Anthozoa;Pennatulacea,4,4
Animalia;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Phyllophaga;Phyllophaga marginalis,2,2
Animalia;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Styela;Styela gibbsii,4,4
Protozoa;NA;Heterolobosea;Schizopyrenida;Vahlkampfiidae,1,1
Chromista;NA;Oomycetes;Peronosporales,1,1
Animalia;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae,4,4
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae,7,7
Animalia;Arthropoda;Insecta;Orthoptera;Acrididae;Dociostaurus;Dociostaurus jagoi,1,1
Animalia;Rotifera;Monogononta;Ploima,8,8
Animalia;Arthropoda;Insecta;Hemiptera;Cicadidae,1,1
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae,1,1
Animalia;Arthropoda;Insecta;Lepidoptera;Lycaenidae,1,1
Animalia;Annelida;Polychaeta;Spionida;Spionidae;Polydora,1,1
Animalia;Mollusca;Gastropoda;NA;Haliotidae;Haliotis,1,1
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae,6,6
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum sp. ES18-118,7,7
Animalia;Mollusca;Gastropoda;Thecosomata;Cavoliniidae,1,1
Animalia;Arthropoda;Insecta;Diptera;Tabanidae;Catachlorops;Catachlorops rufescens,1,1
Animalia;Chordata;Aves;Pelecaniformes;Phalacrocoracidae;Nannopterum,1,1
Animalia;Mollusca;Cephalopoda;Octopoda;Octopodidae,1,1
Animalia;Arthropoda;Insecta;Diptera;Cecidomyiidae;NA;Cecidomyiidae sp. BOLD-2016,1,1
Animalia;Arthropoda;Insecta;Diptera;Muscidae;Phaonia,1,1
Animalia;Arthropoda;Arachnida;Araneae;Idiopidae,1,1
Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Trigonopterus;Trigonopterus sp. 201 MB-2011,1,1
Plantae;Chlorophyta;NA;Pyramimonadales;NA;Cymbomonas;Cymbomonas tetramitiformis,4,4
Chromista;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Alexandrium,6,6
