taxonomic_path	common_name	% samples positive in project
Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora membranacea	Lacy crust bryozoan	17.07
Plantae;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia	Plants	1.63
Chromista;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo	Brown algae	11.38
Animalia;Echinodermata;Holothuroidea;Dendrochirotida;Cucumariidae;Cucumaria;Cucumaria piperata	Peppered sea cucumber	3.25
Chromista;NA;Dictyochophyceae;Dictyochales;NA;Dictyocha;Dictyocha speculum	Brown algae	12.2
Chromista;Phaeophyceae;NA;Ectocarpales;Chordariaceae	Chromists	8.13
Chromista;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus polymorphus	Diatoms	51.22
Animalia;Annelida;Polychaeta;NA;Opheliidae;Ophelina;Ophelina acuminata	Sandbar worms	4.88
Chromista;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella verruculosa	Brown algae	17.89
Animalia;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus mimus	Calanoid Copepods	0.81
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Ammodytes;Ammodytes cf. personatus SVT-2013	Sand-eels	0.81
Animalia;Chordata;Chondrichthyes;Squaliformes;Squalidae;Squalus	Spiny dogfish	2.44
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter	Α-proteobacteria	8.94
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae	Diatoms	26.83
Animalia;Mollusca;Gastropoda;NA;Lottiidae;Lottia;Lottia paradigitalis	Tortoiseshell limpets	2.44
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales	Diatoms	43.09
Plantae;NA;Florideophyceae;Ceramiales;Ceramiaceae;Pterothamnion;Pterothamnion sp. 4GWS	Plants	3.25
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia	Diatoms	8.13
Animalia;Mollusca;Bivalvia;Veneroida;Veneridae;Compsomyax;Compsomyax subdiaphana	Milky venus	13.82
Chromista;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium sp. RS-24	Dinoflagellates	24.39
Animalia;Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphiodia	Basket stars	1.63
Animalia;Arthropoda;Maxillopoda;Calanoida;Calanidae;Calanus;Calanus pacificus	Calanoid Copepods	8.13
Chromista;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella	Chromists	8.13
Animalia;Mollusca;Bivalvia;Myoida;Hiatellidae;Panopea;Panopea generosa	Pacific geoduck	5.69
Chromista;NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;Symbiodinium sp. CS-158	Dinoflagellates	15.45
Chromista;NA;Dinophyceae;Peridiniales;Ostreopsidaceae	Dinoflagellates	1.63
Animalia;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;Paracalanus parvus	Calanoid Copepods	10.57
Animalia;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. C AC-2013	Calanoid Copepods	28.46
Animalia;Mollusca;Bivalvia;Veneroida;Veneridae;Nutricola;Nutricola tantilla	Purple dwarf-venus	5.69
Animalia;Mollusca;Bivalvia;Nuculoida;Nuculidae;Acila;Acila castrensis	Divaricate nutclam	13.82
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum micans	Dinoflagellates	14.63
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia hasleana	Diatoms	8.13
Animalia;Chordata	Chordates	5.69
NA;NA;Oomycetes	""	13.01
Chromista;NA;Dinophyceae;Suessiales;Suessiaceae;Polarella;Polarella glacialis	Dinoflagellates	4.88
Plantae;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis flabellulata	Plants	4.88
Animalia;Rotifera;Monogononta;Ploima;Brachionidae;Brachionus	Rotifers	3.25
Chromista;NA;Dinophyceae;Peridiniales;Thoracosphaeraceae;Scrippsiella;Scrippsiella sweeneyae	Dinoflagellates	7.32
Plantae;Chlorophyta;NA;NA;Pycnococcaceae	Green algae	47.15
Animalia;Annelida;Polychaeta	Paddle-footed annelids	2.44
Animalia;Nemertea;Palaeonemertea;NA;Tubulanidae;Tubulanus;Tubulanus sp. 1 TCH-2015	Proboscis worms	4.07
Animalia;Cnidaria;Hydrozoa;Anthoathecata;Proboscidactylidae;Proboscidactyla;Proboscidactyla flavicirrata	Hydroid	9.76
Plantae;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus exasperatus	Plants	13.82
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;Formosa sp. Hel3_A1_48	Bacteria	3.25
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter	Bacteria	4.07
Chromista;NA;NA;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis globosa	Chromists	23.58
Animalia;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus	Calanoid Copepods	5.69
Animalia;Mollusca;Bivalvia;Mytiloida;Mytilidae	Mussel	4.07
Plantae;Chlorophyta	Green algae	12.2
Chromista;Bacillariophyta;Bacillariophyceae	Diatoms	13.01
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Schizophyllaceae;Schizophyllum;Schizophyllum commune	Splitgill	1.63
Plantae;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastix;Dolichomastix tenuilepis	Green algae	1.63
NA;Phaeophyceae	""	6.5
Chromista;NA;Dinophyceae;Lophodiniales;Lophodiniaceae;Woloszynskia	Dinoflagellates	15.45
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Pluteus	Shields	1.63
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	Bacteria	10.57
Animalia;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera sp. CMC03	Bloodworms	4.88
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae	Pyrenomycete	1.63
Animalia;Chordata;Mammalia;NA;Suidae;Sus;Sus scrofa	Wild Boar/Pig	8.13
Fungi;Ascomycota;Dothideomycetes;Pleosporales	Asco's	4.88
NA;Eustigmatophyceae	""	3.25
Animalia;Cnidaria;Hydrozoa	Hydralike animals	17.07
Animalia;Echinodermata;Ophiuroidea;Ophiurida;Ophiactidae;Ophiopholis	Basket stars	3.25
Animalia;Echinodermata;Holothuroidea;Aspidochirotida;Stichopodidae;Parastichopus;Parastichopus californicus	Sea cucumbers	3.25
Animalia;Annelida;Polychaeta;Phascolosomatiformes;Phascolosomatidae;Phascolosoma;Phascolosoma agassizii	Agassiz'z peanut worm	1.63
Animalia;Rotifera;Monogononta;Ploima	Rotifers	4.88
Plantae;NA;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca	Plants	10.57
Animalia;Arthropoda;Maxillopoda;Calanoida	Calanoid Copepods	13.01
Chromista;Eustigmatophyceae;NA;Goniochloridales;NA;Trachydiscus;Trachydiscus minutus	Chromists	2.44
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia cf. promare	Diatoms	16.26
Chromista;Phaeophyceae;NA;Ectocarpales;Ectocarpaceae;Ectocarpus	Maiden's Hair	2.44
Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;Linepithema;Linepithema humile	Argentine ant	8.13
Animalia;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Euphausia;Euphausia pacifica	Pacific krill	3.25
Plantae;NA;Florideophyceae;Ceramiales;Ceramiaceae;Pterothamnion	Plants	5.69
Animalia;Mollusca;Bivalvia;Mytiloida;Mytilidae;Modiolus;Modiolus modiolus	Northern horse mussel	4.88
Chromista;NA;Synurophyceae;Parmales;Triparmaceae;Triparma;Triparma laevis	Synurids	6.5
Animalia;Mollusca;Gastropoda	Gastropods	8.13
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia sp. BOLD:AAO7110	Diatoms	0.81
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA;Pfiesteriaceae sp. CCMP1881	Dinoflagellates	16.26
Animalia;Porifera;Demospongiae	Demosponge	2.44
Animalia;Arthropoda;Insecta;Thysanoptera;Phlaeothripidae;Haplothrips;Haplothrips tenuipennis	Thrips	2.44
Animalia;Chordata;Mammalia;NA;Suidae;Sus	Palawan Bearded Pig	5.69
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum sp. ES18-118	Dinoflagellates	5.69
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema japonicum	Diatoms	6.5
Animalia;Chordata;Mammalia;NA;Suidae	Hogs	0.81
Animalia;Cnidaria;Anthozoa;Pennatulacea;Virgulariidae;Stylatula;Stylatula elongata	Elongated sea pen	4.07
Animalia;Arthropoda	Arthropod	4.88
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia longissima	Diatoms	6.5
Animalia;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus moultoni	Calanoid Copepods	3.25
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB59	Α-proteobacteria	4.88
Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis sp. CMC02	Nereids	1.63
Animalia;Annelida;Polychaeta;Phascolosomatiformes;Phascolosomatidae;Phascolosoma	Phascolosomatids	0.81
Animalia;Porifera;Demospongiae;Suberitida;Halichondriidae;Halichondria;Halichondria panicea	Bread-crumb sponge	5.69
Chromista;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Hecatonema;Hecatonema maculans	Chromists	0.81
Animalia;Porifera;Demospongiae;Dendroceratida;Halisarcidae;Halisarca	Demosponge	0.81
Animalia;Arthropoda;Maxillopoda;Sessilia;Archaeobalanidae;Semibalanus;Semibalanus cariosus	Thatched barnacle	0.81
