TreeID,Species,Dia_cm,Ht_m,Live,Health
162,PILA,23.4,0.4,Y,2
163,PIPO,78.1,4.0,Y,1
164,CADE,66.0,7.0,Y,1
165,CADE,50.7,6.5,Y,1
166,ABCO,44.7,5.8,Y,1
167,ABCO,31.8,5.0,Y,2
168,PIPO,97.9,0.4,Y,1
169,ABCO,21.6,2.1,N,NA
170,ABCO,37.4,2.3,Y,3
171,CADE,26.3,6.0,Y,2
172,ABCO,25.6,1.4,Y,2
173,PILA,177.2,12.2,N,NA
174,ABCO,42.9,1.8,Y,1
175,CADE,101.5,8.0,Y,1
176,ABCO,26.6,1.8,Y,2
177,ABCO,22.4,5.0,Y,3
178,CADE,30.7,6.5,Y,1
179,ABCO,44.0,8.0,Y,2
180,ABCO,27.9,6.1,Y,3
181,ABCO,42.0,1.0,Y,2
182,PIPO,28.0,1.8,Y,2
183,ABCO,21.0,4.0,Y,3
184,PILA,NA,6.0,Y,1
185,ABCO,54.8,3.5,Y,1
186,ABCO,36.6,5.0,Y,3
187,ABCO,20.3,6.0,N,NA
188,PILA,138.2,7.0,Y,1
189,ABCO,23.1,5.5,N,NA
190,ABCO,30.1,4.5,Y,3
191,PIPO,155.5,6.0,Y,3
192,ABCO,29.4,6.0,Y,3
193,CADE,24.4,5.0,Y,3
194,ABCO,29.8,5.5,N,NA
195,PIPO,51.3,8.0,Y,3
196,PIPO,38.6,6.5,Y,3
197,ABCO,29.2,7.5,N,NA
198,CADE,25.8,9.0,N,NA
199,CADE,23.8,8.0,N,NA
200,CADE,20.1,10.0,N,NA
201,CADE,21.4,11.0,N,NA
202,CADE,21.4,11.0,N,NA
203,CADE,24.1,9.0,N,NA
204,CADE,25.1,6.5,N,NA
205,CADE,22.2,8.0,N,NA
206,PILA,26.6,6.0,N,NA
207,ABCO,62.4,6.5,N,NA
208,CADE,27.3,9.5,N,NA
209,CADE,29.0,7.0,N,NA
210,PIPO,87.4,7.0,Y,2
211,PIPO,84.6,10.0,Y,1
212,CADE,26.1,8.5,N,NA
213,CADE,23.0,7.5,N,NA
214,CADE,25.9,9.0,N,NA
215,CADE,20.8,9.5,N,NA
216,CADE,25.8,7.0,N,NA
