taxonomic_path	common_name	% samples positive in project
Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Thalassoglobus;Thalassoglobus polymorphus	Bacteria	8.94
Chromista;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus danicus	Diatoms	51.22
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira	Diatoms	68.29
Chromista;Ciliophora;Phyllopharyngea	Ciliates	59.35
Animalia;Annelida;Polychaeta;Sabellida;Sabellariidae;Idanthyrsus;Idanthyrsus australiensis	Paddle-footed annelids	34.96
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae	Diatoms	67.48
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira rotula	Diatoms	4.88
Chromista;NA;Dinophyceae;Blastodiniales;NA;Blastodinium	Dinoflagellates	81.3
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros	Diatoms	66.67
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas	Green algae	47.97
Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Nannochloris;Nannochloris sp. NIES-3880	Green algae	35.77
Chromista;Ciliophora;Spirotrichea;Tintinnida;Codonellidae	Tintinnids	20.33
Chromista;Ciliophora;Phyllopharyngea;Dysteriida;Hartmannulidae;Hartmannula;Hartmannula derouxi	Ciliates	2.44
Chromista;Ciliophora;Spirotrichea;Euplotida;Uronychiidae;Diophrys	Ciliates	50.41
Chromista;Ciliophora;Oligohymenophorea;Thigmotrichida	Ciliates	64.23
Chromista;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae	Chromists	19.51
Chromista;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax;Teleaulax amphioxeia	Cryptomonads	44.72
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus sp. 'lucimarinus'	Green algae	33.33
Chromista;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp. ex Gymnodinium instriatum	Dinoflagellates	53.66
Chromista;Ciliophora;Oligohymenophorea;Peniculida;Parameciidae;Paramecium;Paramecium bursaria	Green slipper animalcule	8.13
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Leonella;Leonella granifera	Dinoflagellates	52.03
Animalia;Chordata;Appendicularia;Copelata;Oikopleuridae;Oikopleura;Oikopleura dioica	Chordates	73.98
Plantae;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix;Crustomastix stigmatica	Green algae	78.86
Chromista;NA;Dinophyceae;Gonyaulacales	Dinoflagellates	31.71
Chromista;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus sp. CCMP1701	Diatoms	49.59
Chromista;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus hargravesii	Diatoms	12.2
Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Modiolus;Modiolus americanus	American horsemussel	37.4
Protozoa;Tubulinea;Echinamoebida;NA;Echinamoebidae;Echinamoeba;Echinamoeba exundans	Protozoans	51.22
Animalia;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae;Bougainvillia;Bougainvillia sp. AGC-2001	Hydralike animals	5.69
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium leonis	Dinoflagellates	47.15
Chromista;NA;Cryptophyceae	Chromists	75.61
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Attheyaceae;Attheya;Attheya longicornis	Diatoms	35.77
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. NIES-3971	Diatoms	42.28
Bacteria;Pseudomonadota;Alphaproteobacteria;Maricaulales;Maricaulaceae;Maricaulis	Α-proteobacteria	8.13
Plantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae	Soapberries	28.46
Chromista;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus granii	Diatoms	8.13
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Ceramiaceae;Ceramium;Ceramium affine	Red algae	6.5
Chromista;Oomycota	Water molds	52.85
Plantae;Rhodophyta;Florideophyceae	Red algae	55.28
Animalia;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae	Euphausiids	2.44
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium dorsalisulcum	Dinoflagellates	7.32
Chromista;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Phalacroma;Phalacroma sp. FTL61	Dinoflagellates	1.63
Animalia;Cnidaria;Hydrozoa;Leptothecata;Plumulariidae;Plumularia;Plumularia strictocarpa	Hydralike animals	4.07
Chromista;Ciliophora;Spirotrichea;NA;Strombidiidae;Apostrombidium;Apostrombidium parakielum	Ciliates	36.59
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira sp.	Diatoms	43.9
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sp.	Asco's	14.63
Chromista;Ciliophora;Litostomatea;Haptorida;Lacrymariidae	Ciliates	17.07
Plantae;Rhodophyta;Florideophyceae;Gigartinales;Kallymeniaceae;Erythrophyllum;Erythrophyllum delesserioides	Red algae	4.88
Chromista;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum	Dinoflagellates	74.8
Chromista;Ciliophora;Spirotrichea;Tintinnida	Tintinnids	47.15
Protozoa;Euglenozoa;NA;Diplonemea;Diplonemidae;Diplonema;Diplonema sp. ATCC 50232	Euglenoids	21.95
Plantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;Epilobium palustre	Marsh Willow-herb	2.44
Chromista;NA;Dinophyceae;Peridiniales;Amphidiniopsidaceae;Archaeperidinium;Archaeperidinium minutum	Dinoflagellates	48.78
Chromista;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Aplanochytrium	Chromists	17.89
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales	Α-proteobacteria	36.59
Chromista;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa pseudotriquetra	Dinoflagellates	21.95
Chromista;NA;Phaeophyceae;Ectocarpales	Brown algae	32.52
Chromista;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas;Cryothecomonas aestivalis	Chromists	86.99
Plantae;Chlorophyta;NA;NA;Pycnococcaceae;Pycnococcus;Pycnococcus provasolii	Green algae	51.22
Animalia;Arthropoda;Hexanauplia;Poecilostomatoida	Arthropod	11.38
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium conicum	Dinoflagellates	30.08
Animalia;Arthropoda;Hexanauplia	Arthropod	67.48
Chromista;Ciliophora;Spirotrichea;Sporadotrichida;Gonostomatidae;Gonostomum;Gonostomum affine	Ciliates	59.35
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira delicatula	Diatoms	42.28
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales	Diatoms	51.22
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros gelidus	Diatoms	71.54
Fungi;Mucoromycota;Glomeromycetes;Archaeosporales;Archaeosporaceae;Archaeospora;Archaeospora ecuadoriana	Fungi	0.81
Chromista;NA;Dinophyceae;Syndiniales;Eudubosquellidae;Euduboscquella;Euduboscquella cachoni	Dinoflagellates	41.46
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Paragymnodinium;Paragymnodinium inerme	Dinoflagellates	51.22
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum cf. balticum	Dinoflagellates	26.02
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum minimum	Dinoflagellates	67.48
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. UNC1414	Diatoms	30.08
Chromista;Ciliophora;Spirotrichea;Euplotida;Euplotidae;Euplotes	Ciliates	13.01
Plantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer	Maple	25.2
Chromista;Ciliophora;Spirotrichea;Euplotida;Uronychiidae;Diophrys;Diophrys parappendiculata	Ciliates	65.04
Chromista;NA;Dinophyceae;Suessiales;Suessiaceae;Pelagodinium;Pelagodinium beii	Dinoflagellates	30.89
Protozoa;NA;Choanoflagellata;Craspedida;Salpingoecidae;Bicosta;Bicosta minor	Protozoans	45.53
Animalia;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae;Corycaeus;Corycaeus speciosus	Arthropod	71.54
Chromista;Ciliophora;Spirotrichea;Euplotida;Uronychiidae	Ciliates	39.84
Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB59	Α-proteobacteria	8.13
Chromista;Haptophyta	Haptophytes	47.15
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella hangoei	Dinoflagellates	78.05
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Lepidodinium;Lepidodinium viride	Dinoflagellates	43.9
Chromista;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Takayama;Takayama cf. pulchellum	Dinoflagellates	50.41
Chromista;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Cyclotella;Cyclotella choctawhatcheeana	Diatoms	65.04
Chromista;Ciliophora;Spirotrichea;NA;NA;Protocruzia	Ciliates	43.9
Chromista;Bacillariophyta;Coscinodiscophyceae;Melosirales;Stephanopyxidaceae;Stephanopyxis;Stephanopyxis turris	Diatoms	12.2
Chromista;Cercozoa;Imbricatea;Thaumatomonadida;Thaumatomastigidae;Protaspis;Protaspis obliqua	Chromists	52.85
Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Aureliella;Aureliella helgolandensis	Bacteria	12.2
Plantae;Streptophyta;Magnoliopsida;Alismatales;Zosteraceae	Eel grass	33.33
Animalia;Annelida;Polychaeta;Spionida	Paddle-footed annelids	16.26
Chromista;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Phalacroma;Phalacroma rotundatum	Dinoflagellates	8.94
Chromista;Cercozoa	Chromists	65.04
Chromista;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae;Sarcocystis;Sarcocystis suihominis	Chromists	2.44
Animalia;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae	Arthropod	42.28
Protozoa;Cercozoa;NA;NA;NA;Quadricilia;Quadricilia rotundata	Protozoans	29.27
Animalia;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	Calanoid Copepods	80.49
Chromista;NA;Dinophyceae;Torodiniales;Torodiniaceae;Torodinium;Torodinium teredo	Dinoflagellates	20.33
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Callithamniaceae;Aglaothamnion;Aglaothamnion tenuissimum	Red algae	4.88
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Seminavis;Seminavis sp.	Diatoms	48.78
Plantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tephroseris;Tephroseris crispa	Groundsel	35.77
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Ceramiaceae;Pterothamnion;Pterothamnion plumula	Red algae	20.33
Chromista;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae	Diatoms	52.03
Protozoa;Euglenozoa;Euglenida;Petalomonadida;Scytomonadidae;Petalomonas;Petalomonas plana	Euglenoids	4.07
Chromista;NA;Bigyra;Oblongichytrida;NA;Oblongichytrium;Oblongichytrium sp. PBS05	Oblongichytrium sp. PBS05	8.13
