"sample_id"	"reads"	"percentage of overall results"	"notes"
"PBN_TOW_BTM_3m_092425"	31610	0.0022269028747688734	""
"PBN_TOW_PORT_15m_092425"	54165	0.003815887194301045	""
"PBN_TOW_PORT_3m_092425"	35393	0.002493412636719226	""
"PBN_TOW_STBD_15m_092425"	20862	0.0014697136277579323	""
"PBN_TOW_STBD_3m_092425"	24334	0.0017143136524715521	""
"PG_PCR_Blank_2"	106593	0.007509403926929406	""
"PG_ext_blank_1"	54105	0.0038116602353486205	""
"PG_ext_blank_2"	56308	0.003966860078218466	""
"PTBAY_TOW_BTM_8m_092225"	56395	0.003972989168699482	""
"PTBAY_TOW_PORT_8m_092225"	48143	0.0033916414141093917	""
"PTBAY_TOW_STBD_8m_092225"	27699	0.0019513756003866822	""
"SJI_01_072125"	111749	0.007872640599574402	""
"SJI_02_072125"	111424	0.007849744571915437	""
"SJI_03_072125"	88914	0.006263930471597583	""
"SJI_04_072125"	100061	0.007049228995642146	""
"SJI_05_072125"	94104	0.006629562420982286	""
"SJI_06_072125"	119310	0.008405307876895739	""
"SJI_07_072125"	179344	0.012634662106059754	""
"SJI_08_072125"	74401	0.005241499550322016	""
"SJI_BK1_01_072125"	145756	0.010268410484492627	""
"SJI_BK2_02_072125"	123582	0.008706267354308348	""
"SQU_01_072925"	135001	0.00951072809227057	""
"SQU_02_072925"	114813	0.008088497303411536	""
"SQU_03_072925"	134779	0.009495088344146599	""
"SQU_04_072925"	102332	0.0072092193919914066	""
"SQU_05_072925"	120478	0.008487592677836265	""
"SQU_06_072925"	108289	0.007628885966651266	""
"SQU_07_072925"	133303	0.009391105153916961	""
"SQU_08_072925"	107361	0.007563509001520437	""
"SQU_BK1_01_072925"	99064	0.006978991027716029	""
"SQU_BK2_02_072925"	153501	0.010814040435934731	""
