taxonomic_path	common_name	% samples positive in project
Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales	Γ-proteobacteria	15.45
Chromista;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Stephanodiscus;Stephanodiscus niagarae	Diatoms	6.5
Animalia;Arthropoda;Hexanauplia;Siphonostomatoida;Pennellidae;Lernaeocera;Lernaeocera branchialis	Throat-ogre	8.94
Chromista;Ciliophora;Heterotrichea;Heterotrichida;Stentoridae;Stentor	""	37.4
Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae	Chlorophycean Green Algae	13.82
Chromista;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium	""	47.15
Animalia;Porifera;Calcarea;Leucosolenida;Leucosoleniidae;Leucosolenia	Branching ball-sponge	2.44
Plantae;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis	Green algae	34.15
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Pararhodobacter;Pararhodobacter aggregans	""	0.81
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. NIES-3971	Diatoms	49.59
Animalia;Chordata;Appendicularia;Copelata;Oikopleuridae;Oikopleura;Oikopleura dioica	Chordates	77.24
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. Dino3	Dinoflagellates	68.29
Plantae;Rhodophyta;Florideophyceae;Corallinales	Red algae	18.7
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Ruficoccus;Ruficoccus sp.	Bacteria	8.94
Plantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae	Plantain family	21.95
Chromista;Bacillariophyta;Bacillariophyceae	""	74.8
Chromista;NA;Dinophyceae;Peridiniales;Amphidiniopsidaceae;Amphidiniopsis;Amphidiniopsis uroensis	Dinoflagellates	18.7
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae	Diatoms	72.36
Chromista;Ciliophora;Spirotrichea;Euplotida;Euplotidae;Euplotes	Ciliates	39.84
Bacteria;Pseudomonadota;Alphaproteobacteria	""	45.53
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales	""	68.29
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium pellucidum	Dinoflagellates	75.61
Chromista;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas;Cryothecomonas aestivalis	Chromists	87.8
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia	""	83.74
Chromista;Ciliophora;Oligohymenophorea;Mobilida;Trichodinidae;Trichodina	Ciliates	17.07
Plantae;Streptophyta;Magnoliopsida;Vitales;Vitaceae	Grape family	99.19
Chromista;Ciliophora;Oligohymenophorea;Peniculida;Parameciidae;Paramecium;Paramecium calkinsi	Slipper Animalcules	33.33
Animalia;Arthropoda;Hexanauplia;Calanoida	Calanoid Copepods	70.73
Fungi;Basidiomycota;Agaricomycetes	""	51.22
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum	Dinoflagellates	41.46
Chromista;Ciliophora;Oligohymenophorea;Sessilida;Epistylidae	""	11.38
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus trioculatus	Diatoms	27.64
Chromista;Ciliophora;Phyllopharyngea;Chlamydodontida;Chlamydodontidae;Chlamydodon	Ciliates	26.02
Chromista;NA;Chrysophyceae;Chromulinales;Oikomonadaceae;Oikomonas;Oikomonas sp. SA-2.1	Golden-brown algae	24.39
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae	Bean	69.11
Chromista;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa pseudotriquetra	Dinoflagellates	36.59
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodovibrionaceae;Rhodovibrio	""	4.07
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Zavarziniaceae;Zavarzinia;Zavarzinia marina	""	6.5
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae	""	49.59
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Leonella;Leonella granifera	Dinoflagellates	64.23
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas	Green algae	56.1
Chromista;NA;NA;Telonemida;NA;Telonema;Telonema antarcticum	Cryptomonads	36.59
Chromista;NA;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas	""	9.76
Plantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae	Soapberries	51.22
