"sample_id"	"reads"	"percentage of overall results"	"notes"
"JDFB_BK1_06_073025"	2337	0.00036724322438608155	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_08_082625"	68392	0.01074732503303932	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_10_082725"	50912	0.008000465143322286	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_12_082825"	96039	0.015091857949000807	"sample did not have any recorded observations for any assignments"
"JDFB_BK1_14_092425"	25658	0.00403197546054689	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_16_092525"	71088	0.011170982599554029	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK2_02_062525"	14784	0.0023232023232023233	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK2_04_062625"	41769	0.006563706563706564	"sample did not have any recorded observations for any assignments"
"JDFB_BK2_07_073025"	37917	0.005958391672677387	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK2_09_082625"	9253	0.0014540443111871685	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK2_11_082725"	45087	0.007085107085107086	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK2_13_082825"	50083	0.0078701935844793	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK2_15_092425"	27508	0.004322690036975751	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK2_17_092525"	42384	0.006660349517492375	"Decontaminated read was in sample with fewer than 1 reads"
"OAK_01_072825"	17748	0.0027889742175456465	""
"OAK_02_072825"	23679	0.0037209894352751498	""
"OAK_03_072825"	31047	0.004878819164533451	""
"OAK_03_072825"	5	7.857150714293572e-7	"sample did not have any recorded observations for any assignments"
"OAK_04_072825"	12379	0.0019452733738448025	""
"OAK_05_072825"	44377	0.006973535544964117	""
"OAK_05_072825"	4	6.285720571434858e-7	"sample did not have any recorded observations for any assignments"
"OAK_06_072825"	32896	0.005169376597948027	""
"OAK_07_072825"	38112	0.005989034560463132	""
"OAK_08_072825"	44006	0.0069152354866640585	""
"OAK_BK1_01_072825"	44008	0.00691554977269263	"sample did not have any recorded observations for any assignments"
"OAK_BK2_02_072825"	43689	0.0068654211511354375	"sample did not have any recorded observations for any assignments"
"PBN_TOW_BTM_15m_092425"	23718	0.0037271180128322988	""
"PBN_TOW_BTM_15m_092425"	2	3.142860285717429e-7	"sample did not have any recorded observations for any assignments"
"PBN_TOW_BTM_3m_092425"	32210	0.005061576490147919	""
"PBN_TOW_BTM_3m_092425"	2	3.142860285717429e-7	"sample did not have any recorded observations for any assignments"
"PBN_TOW_PORT_15m_092425"	36550	0.0057435771721486015	""
"PBN_TOW_PORT_15m_092425"	21	3.3000033000033003e-6	"sample did not have any recorded observations for any assignments"
"PBN_TOW_PORT_3m_092425"	21408	0.003364117649831936	""
"PBN_TOW_PORT_3m_092425"	2	3.142860285717429e-7	"sample did not have any recorded observations for any assignments"
"PBN_TOW_STBD_15m_092425"	9881	0.0015527301241586957	""
"PBN_TOW_STBD_15m_092425"	11	1.7285731571445858e-6	"sample did not have any recorded observations for any assignments"
"PBN_TOW_STBD_3m_092425"	38683	0.006078763221620365	""
"PG_PCR_Blank_2"	18490	0.002905574334145763	"Decontaminated read was in sample with fewer than 1 reads"
"PG_ext_blank_1"	35416	0.005565376993948423	"Decontaminated read was in sample with fewer than 1 reads"
