"sample_id"	"reads"	"percentage of overall results"	"notes"
"PBN_TOW_BTM_3m_092425"	32210	0.004826584606237009	""
"PBN_TOW_PORT_15m_092425"	36550	0.00547692230232731	""
"PBN_TOW_PORT_3m_092425"	21408	0.003207933040991055	""
"PBN_TOW_STBD_15m_092425"	9881	0.00148064211407103	""
"PBN_TOW_STBD_3m_092425"	38683	0.005796546796742198	""
"PG_PCR_Blank_2"	19681	0.002949146589113647	""
"PG_ext_blank_1"	37394	0.00560339350405547	""
"PG_ext_blank_2"	45402	0.006803371446518866	""
"PTBAY_TOW_BTM_8m_092225"	35273	0.005285567178385533	""
"PTBAY_TOW_PORT_8m_092225"	38675	0.005795348017578898	""
"PTBAY_TOW_STBD_8m_092225"	19402	0.002907339165793556	""
"SJI_01_072125"	74907	0.01122461884816503	""
"SJI_02_072125"	60179	0.009017666408529555	""
"SJI_03_072125"	53260	0.007980872279670384	""
"SJI_04_072125"	44442	0.006659517946922855	""
"SJI_05_072125"	58819	0.008813873950768538	""
"SJI_06_072125"	60956	0.009134097834765076	""
"SJI_07_072125"	2474	0.00037072245625055446	""
"SJI_08_072125"	49638	0.007438125013486266	""
"SJI_BK1_01_072125"	71495	0.01071333953501754	""
"SJI_BK2_02_072125"	63640	0.009536288244052258	""
"SQU_01_072925"	70722	0.010597507498363667	""
"SQU_02_072925"	63451	0.009507967086319293	""
"SQU_03_072925"	58012	0.00869294710267064	""
"SQU_04_072925"	50657	0.007590819509411616	""
"SQU_05_072925"	65296	0.009784435530855378	""
"SQU_06_072925"	60946	0.00913259936081095	""
"SQU_07_072925"	53700	0.008046805133651889	""
"SQU_08_072925"	29812	0.004467250552037805	""
"SQU_BK1_01_072925"	63577	0.00952684785814127	""
"SQU_BK2_02_072925"	83564	0.012521847750251145	""
